caseid,timestamp
Case1,2012-02-13 20:54:10
Case2,2012-02-13 20:54:25
Case3,2012-02-13 21:04:06
Case4,2012-02-13 21:14:34
Case5,2012-02-13 21:18:21
Case6,2012-02-13 21:20:24
Case7,2012-02-13 21:45:30
Case8,2012-02-13 21:52:55
Case9,2012-02-13 22:12:35
Case10,2012-02-13 22:59:41
Case11,2012-02-13 23:00:08
Case12,2012-02-13 23:02:23
Case13,2012-02-13 23:29:07
Case14,2012-02-13 23:43:16
Case15,2012-02-14 00:26:24
Case16,2012-02-14 01:16:14
Case17,2012-02-14 02:38:58
Case18,2012-02-14 02:39:01
Case19,2012-02-14 03:08:13
Case20,2012-02-14 03:13:41
Case21,2012-02-14 03:29:52
Case22,2012-02-14 05:06:27
Case23,2012-02-14 05:10:33
Case24,2012-02-14 05:30:36
Case25,2012-02-14 05:34:34
Case26,2012-02-14 06:42:28
Case27,2012-02-14 06:47:44
Case28,2012-02-14 07:33:04
Case29,2012-02-14 07:50:52
Case30,2012-02-14 08:07:52
Case31,2012-02-14 08:09:44
Case32,2012-02-14 08:35:03
Case33,2012-02-14 08:42:20
Case34,2012-02-14 09:00:44
Case35,2012-02-14 09:27:37
Case36,2012-02-14 09:43:54
Case37,2012-02-14 09:55:44
Case38,2012-02-14 10:02:14
Case39,2012-02-14 10:13:26
Case40,2012-02-14 10:18:56
Case41,2012-02-14 10:46:22
Case42,2012-02-14 10:49:17
Case43,2012-02-14 10:54:21
Case44,2012-02-14 11:01:22
Case45,2012-02-14 11:13:36
Case46,2012-02-14 11:33:40
Case47,2012-02-14 11:34:29
Case48,2012-02-14 11:38:01
Case49,2012-02-14 11:40:55
Case50,2012-02-14 11:55:37
Case51,2012-02-14 12:05:25
Case52,2012-02-14 12:25:55
Case53,2012-02-14 12:29:42
Case54,2012-02-14 12:30:50
Case55,2012-02-14 12:46:07
Case56,2012-02-14 13:00:25
Case57,2012-02-14 13:22:22
Case58,2012-02-14 13:34:46
Case59,2012-02-14 13:35:18
Case60,2012-02-14 13:42:13
Case61,2012-02-14 14:17:12
Case62,2012-02-14 14:17:51
Case63,2012-02-14 14:26:19
Case64,2012-02-14 14:31:40
Case65,2012-02-14 14:33:49
Case66,2012-02-14 14:39:57
Case67,2012-02-14 14:44:48
Case68,2012-02-14 15:17:11
Case69,2012-02-14 15:51:36
Case70,2012-02-14 16:00:51
Case71,2012-02-14 16:08:07
Case72,2012-02-14 16:38:57
Case73,2012-02-14 17:03:58
Case74,2012-02-14 17:46:23
Case75,2012-02-14 17:50:13
Case76,2012-02-14 17:56:24
Case77,2012-02-14 18:32:48
Case78,2012-02-14 19:21:28
Case79,2012-02-14 19:40:15
Case80,2012-02-14 19:45:11
Case81,2012-02-14 20:00:36
Case82,2012-02-14 20:07:24
Case83,2012-02-14 20:33:07
Case84,2012-02-14 21:12:28
Case85,2012-02-14 21:32:54
Case86,2012-02-14 22:27:13
Case87,2012-02-14 22:33:03
Case88,2012-02-15 02:47:27
Case89,2012-02-15 02:48:03
Case90,2012-02-15 02:54:54
Case91,2012-02-15 05:26:27
Case92,2012-02-15 08:40:13
Case93,2012-02-15 08:53:15
Case94,2012-02-15 09:01:32
Case95,2012-02-15 09:27:27
Case96,2012-02-15 09:52:50
Case97,2012-02-15 10:01:01
Case98,2012-02-15 10:36:31
Case99,2012-02-15 10:38:00
Case100,2012-02-15 10:42:12
Case101,2012-02-15 11:00:20
Case102,2012-02-15 11:10:21
