timestamp,caseid
2012-02-13 20:56:24,Case1
2012-02-13 20:35:17,Case2
2012-02-13 21:21:32,Case3
2012-02-13 20:36:01,Case4
2012-02-13 20:37:30,Case5
2012-02-13 21:47:07,Case6
2012-02-13 21:48:28,Case7
2012-02-13 21:52:21,Case8
2012-02-13 22:49:40,Case9
2012-02-13 23:38:04,Case10
2012-02-13 23:40:24,Case11
2012-02-13 23:34:57,Case12
2012-02-14 00:32:19,Case13
2012-02-14 02:47:56,Case14
2012-02-14 03:33:45,Case15
2012-02-14 03:48:07,Case16
2012-02-14 03:39:19,Case17
2012-02-14 04:00:23,Case18
2012-02-14 05:06:26,Case19
2012-02-14 05:05:35,Case20
2012-02-14 06:02:02,Case21
2012-02-14 06:05:09,Case22
2012-02-14 07:29:41,Case23
2012-02-14 09:30:47,Case24
2012-02-14 09:12:16,Case25
2012-02-14 09:13:35,Case26
2012-02-14 08:42:13,Case27
2012-02-14 09:34:16,Case28
2012-02-14 08:50:58,Case29
2012-02-14 09:53:51,Case30
2012-02-14 10:07:10,Case31
2012-02-14 09:58:43,Case32
2012-02-14 09:45:11,Case33
2012-02-14 10:15:55,Case34
2012-02-14 11:22:11,Case35
2012-02-14 11:33:21,Case36
2012-02-14 10:38:02,Case37
2012-02-14 11:08:07,Case38
2012-02-14 11:28:42,Case39
2012-02-14 11:25:18,Case40
2012-02-14 11:56:39,Case41
2012-02-14 12:33:28,Case42
2012-02-14 12:12:01,Case43
2012-02-14 12:22:43,Case44
2012-02-14 13:15:47,Case45
2012-02-14 12:43:44,Case46
2012-02-14 13:00:58,Case47
2012-02-14 13:32:59,Case48
2012-02-14 12:40:55,Case49
2012-02-14 13:56:09,Case50
2012-02-14 13:46:38,Case51
2012-02-14 13:36:17,Case52
2012-02-14 14:19:34,Case53
2012-02-14 14:21:51,Case54
2012-02-14 14:04:04,Case55
2012-02-14 15:17:32,Case56
2012-02-14 14:49:46,Case57
2012-02-14 15:12:35,Case58
2012-02-14 15:34:49,Case59
2012-02-14 15:39:26,Case60
2012-02-14 16:22:31,Case61
2012-02-14 15:58:18,Case62
2012-02-14 16:53:38,Case63
2012-02-14 16:58:05,Case64
2012-02-14 17:26:18,Case65
2012-02-14 17:32:59,Case66
2012-02-14 18:05:05,Case67
2012-02-14 17:47:13,Case68
2012-02-14 18:22:52,Case69
2012-02-14 17:50:24,Case70
2012-02-14 17:50:19,Case71
2012-02-14 18:40:17,Case72
2012-02-14 18:45:15,Case73
2012-02-14 19:09:46,Case74
2012-02-14 18:47:18,Case75
2012-02-14 18:53:22,Case76
2012-02-14 19:19:43,Case77
2012-02-14 19:49:06,Case78
2012-02-14 20:20:09,Case79
2012-02-14 20:51:56,Case80
2012-02-14 21:21:16,Case81
2012-02-14 20:43:49,Case82
2012-02-14 21:20:25,Case83
2012-02-14 22:26:58,Case84
2012-02-14 22:19:08,Case85
2012-02-14 22:04:26,Case86
2012-02-14 22:31:23,Case87
2012-02-14 22:35:13,Case88
2012-02-14 23:54:37,Case89
2012-02-15 00:13:04,Case90
2012-02-15 03:40:59,Case91
2012-02-15 05:18:32,Case92
2012-02-15 04:53:21,Case93
2012-02-15 04:42:19,Case94
2012-02-15 07:15:17,Case95
2012-02-15 08:58:28,Case96
2012-02-15 08:44:34,Case97
2012-02-15 08:52:31,Case98
2012-02-15 09:34:49,Case99
2012-02-15 09:36:35,Case100
2012-02-15 10:21:30,Case101
2012-02-15 10:06:06,Case102
2012-02-15 10:24:44,Case103
2012-02-15 10:16:08,Case104
2012-02-15 09:55:32,Case105
2012-02-15 09:54:18,Case106
2012-02-15 09:39:49,Case107
2012-02-15 11:09:52,Case108
2012-02-15 11:26:47,Case109
2012-02-15 11:07:46,Case110
2012-02-15 11:10:02,Case111
2012-02-15 11:10:58,Case112
2012-02-15 10:42:31,Case113
2012-02-15 12:14:18,Case114
2012-02-15 12:19:27,Case115
2012-02-15 11:51:32,Case116
2012-02-15 12:06:24,Case117
2012-02-15 13:32:07,Case118
2012-02-15 13:05:44,Case119
2012-02-15 13:01:10,Case120
2012-02-15 12:47:20,Case121
2012-02-15 12:45:07,Case122
2012-02-15 13:14:25,Case123
2012-02-15 12:41:22,Case124
2012-02-15 13:47:46,Case125
2012-02-15 13:58:43,Case126
2012-02-15 13:54:29,Case127
2012-02-15 14:00:40,Case128
2012-02-15 15:15:34,Case129
2012-02-15 15:07:46,Case130
2012-02-15 15:34:03,Case131
2012-02-15 16:10:10,Case132
2012-02-15 16:11:55,Case133
2012-02-15 17:18:48,Case134
2012-02-15 17:25:00,Case135
2012-02-15 17:28:02,Case136
2012-02-15 16:46:38,Case137
2012-02-15 16:50:32,Case138
2012-02-15 18:28:36,Case139
2012-02-15 18:34:20,Case140
2012-02-15 18:16:38,Case141
2012-02-15 18:47:46,Case142
2012-02-15 20:31:37,Case143
2012-02-15 21:33:34,Case144
2012-02-15 21:28:21,Case145
2012-02-15 20:49:11,Case146
2012-02-15 22:31:03,Case147
2012-02-15 22:24:47,Case148
2012-02-15 22:28:33,Case149
2012-02-15 21:56:36,Case150
2012-02-15 23:15:30,Case151
2012-02-15 22:35:50,Case152
2012-02-16 01:48:17,Case153
2012-02-16 01:38:04,Case154
2012-02-16 02:42:42,Case155
2012-02-16 04:08:01,Case156
2012-02-16 04:27:45,Case157
2012-02-16 03:54:09,Case158
2012-02-16 08:01:32,Case159
2012-02-16 08:31:49,Case160
2012-02-16 08:07:00,Case161
2012-02-16 09:20:27,Case162
2012-02-16 09:31:32,Case163
2012-02-16 09:51:07,Case164
2012-02-16 10:06:11,Case165
2012-02-16 09:42:37,Case166
2012-02-16 09:42:23,Case167
2012-02-16 09:52:42,Case168
2012-02-16 09:58:42,Case169
2012-02-16 10:21:11,Case170
2012-02-16 10:49:23,Case171
2012-02-16 10:55:48,Case172
2012-02-16 10:59:06,Case173
2012-02-16 10:54:44,Case174
2012-02-16 11:05:41,Case175
2012-02-16 11:06:20,Case176
2012-02-16 11:44:55,Case177
2012-02-16 11:54:27,Case178
2012-02-16 12:27:10,Case179
2012-02-16 11:45:13,Case180
2012-02-16 12:22:40,Case181
2012-02-16 12:47:26,Case182
2012-02-16 13:24:20,Case183
2012-02-16 13:17:21,Case184
2012-02-16 13:27:48,Case185
2012-02-16 13:21:27,Case186
2012-02-16 14:31:07,Case187
2012-02-16 14:12:47,Case188
2012-02-16 13:42:35,Case189
2012-02-16 13:57:53,Case190
2012-02-16 14:02:18,Case191
2012-02-16 14:24:25,Case192
2012-02-16 13:47:19,Case193
2012-02-16 13:50:34,Case194
2012-02-16 15:12:51,Case195
2012-02-16 15:02:46,Case196
2012-02-16 15:06:22,Case197
2012-02-16 16:08:51,Case198
2012-02-16 16:14:43,Case199
2012-02-16 16:23:07,Case200
2012-02-16 17:02:30,Case201
2012-02-16 17:13:37,Case202
2012-02-16 17:14:25,Case203
2012-02-16 16:53:54,Case204
2012-02-16 17:03:08,Case205
2012-02-16 18:26:33,Case206
2012-02-16 18:33:43,Case207
2012-02-16 18:27:10,Case208
2012-02-16 18:30:28,Case209
2012-02-16 18:21:00,Case210
2012-02-16 17:44:05,Case211
2012-02-16 19:09:51,Case212
2012-02-16 18:57:01,Case213
2012-02-16 20:08:45,Case214
2012-02-16 20:28:29,Case215
2012-02-16 19:46:37,Case216
2012-02-16 21:12:51,Case217
2012-02-16 21:32:23,Case218
2012-02-16 20:36:05,Case219
2012-02-17 01:01:25,Case220
2012-02-17 00:46:04,Case221
2012-02-17 03:16:00,Case222
2012-02-17 07:33:29,Case223
2012-02-17 07:48:27,Case224
2012-02-17 09:43:15,Case225
2012-02-17 10:16:11,Case226
2012-02-17 10:18:57,Case227
2012-02-17 10:18:29,Case228
2012-02-17 11:22:51,Case229
2012-02-17 11:23:27,Case230
2012-02-17 11:03:55,Case231
2012-02-17 10:50:37,Case232
2012-02-17 10:59:51,Case233
2012-02-17 11:06:21,Case234
2012-02-17 12:03:00,Case235
2012-02-17 12:02:30,Case236
2012-02-17 12:08:25,Case237
2012-02-17 12:15:28,Case238
2012-02-17 12:02:55,Case239
2012-02-17 12:19:22,Case240
2012-02-17 13:33:14,Case241
2012-02-17 13:17:22,Case242
2012-02-17 12:47:22,Case243
2012-02-17 13:28:28,Case244
2012-02-17 14:01:52,Case245
2012-02-17 13:41:34,Case246
2012-02-17 14:47:49,Case247
2012-02-17 15:54:19,Case248
2012-02-17 16:22:57,Case249
2012-02-17 16:18:08,Case250
2012-02-17 15:54:58,Case251
2012-02-17 17:00:55,Case252
2012-02-17 16:50:43,Case253
2012-02-17 17:11:08,Case254
2012-02-17 16:38:24,Case255
2012-02-17 18:04:30,Case256
2012-02-17 18:22:23,Case257
2012-02-17 18:17:20,Case258
2012-02-17 19:06:11,Case259
2012-02-17 19:16:32,Case260
2012-02-17 19:05:53,Case261
2012-02-17 18:48:52,Case262
2012-02-17 19:28:01,Case263
2012-02-17 20:01:15,Case264
2012-02-17 19:47:14,Case265
2012-02-17 19:59:19,Case266
2012-02-17 19:52:58,Case267
2012-02-17 20:48:54,Case268
2012-02-17 21:32:27,Case269
2012-02-17 20:51:00,Case270
2012-02-17 22:27:51,Case271
2012-02-17 22:19:25,Case272
2012-02-17 22:19:34,Case273
2012-02-17 22:17:20,Case274
2012-02-17 22:13:58,Case275
2012-02-17 23:22:51,Case276
2012-02-17 23:25:43,Case277
2012-02-17 23:52:04,Case278
2012-02-18 02:50:21,Case279
2012-02-18 04:05:20,Case280
2012-02-18 04:25:14,Case281
2012-02-18 05:01:35,Case282
2012-02-18 04:38:52,Case283
2012-02-18 09:31:26,Case284
2012-02-18 09:19:54,Case285
2012-02-18 09:22:09,Case286
2012-02-18 09:40:28,Case287
2012-02-18 10:10:04,Case288
2012-02-18 09:55:24,Case289
2012-02-18 09:49:12,Case290
2012-02-18 11:10:07,Case291
2012-02-18 11:12:48,Case292
2012-02-18 10:57:47,Case293
2012-02-18 10:53:40,Case294
2012-02-18 10:55:20,Case295
2012-02-18 11:08:46,Case296
2012-02-18 11:47:25,Case297
2012-02-18 12:07:13,Case298
2012-02-18 12:29:54,Case299
2012-02-18 12:45:04,Case300
2012-02-18 12:53:00,Case301
2012-02-18 12:42:51,Case302
2012-02-18 13:27:14,Case303
2012-02-18 12:41:17,Case304
2012-02-18 14:18:39,Case305
2012-02-18 14:16:32,Case306
2012-02-18 15:13:21,Case307
2012-02-18 15:18:02,Case308
2012-02-18 15:33:36,Case309
2012-02-18 14:43:53,Case310
2012-02-18 16:27:44,Case311
2012-02-18 16:34:43,Case312
2012-02-18 16:17:56,Case313
2012-02-18 17:29:22,Case314
2012-02-18 17:21:10,Case315
2012-02-18 17:22:11,Case316
2012-02-18 16:54:07,Case317
2012-02-18 17:37:33,Case318
2012-02-18 17:35:24,Case319
2012-02-18 18:19:51,Case320
2012-02-18 18:28:46,Case321
2012-02-18 19:44:00,Case322
2012-02-18 20:35:51,Case323
2012-02-18 22:03:25,Case324
2012-02-19 10:32:32,Case325
2012-02-19 10:04:25,Case326
2012-02-19 09:43:48,Case327
2012-02-19 10:14:17,Case328
2012-02-19 11:25:26,Case329
2012-02-19 10:56:48,Case330
2012-02-19 12:24:00,Case331
2012-02-19 12:21:10,Case332
2012-02-19 11:45:41,Case333
2012-02-19 11:55:11,Case334
2012-02-19 12:40:31,Case335
2012-02-19 12:35:31,Case336
2012-02-19 13:23:52,Case337
2012-02-19 13:34:07,Case338
2012-02-19 14:04:32,Case339
2012-02-19 17:04:21,Case340
2012-02-19 17:00:55,Case341
2012-02-19 16:44:39,Case342
2012-02-19 17:27:52,Case343
2012-02-19 16:55:32,Case344
2012-02-19 18:25:28,Case345
2012-02-19 18:14:04,Case346
2012-02-19 17:56:06,Case347
2012-02-19 17:41:55,Case348
2012-02-19 19:00:45,Case349
2012-02-19 19:07:30,Case350
2012-02-19 21:16:48,Case351
2012-02-19 23:14:47,Case352
2012-02-19 23:15:41,Case353
2012-02-20 04:15:25,Case354
2012-02-20 03:38:32,Case355
2012-02-20 04:39:46,Case356
2012-02-20 05:00:56,Case357
2012-02-20 07:04:33,Case358
2012-02-20 07:02:34,Case359
2012-02-20 08:45:57,Case360
2012-02-20 09:03:01,Case361
2012-02-20 10:21:59,Case362
2012-02-20 09:50:08,Case363
2012-02-20 10:02:15,Case364
2012-02-20 10:02:17,Case365
2012-02-20 10:19:52,Case366
2012-02-20 11:30:45,Case367
2012-02-20 10:37:35,Case368
2012-02-20 10:35:46,Case369
2012-02-20 10:38:10,Case370
2012-02-20 12:17:25,Case371
2012-02-20 12:23:54,Case372
2012-02-20 12:14:13,Case373
2012-02-20 12:14:55,Case374
2012-02-20 11:45:47,Case375
2012-02-20 12:27:30,Case376
2012-02-20 12:36:51,Case377
2012-02-20 13:23:04,Case378
2012-02-20 12:47:17,Case379
2012-02-20 12:55:18,Case380
2012-02-20 12:48:54,Case381
2012-02-20 13:17:49,Case382
2012-02-20 12:50:01,Case383
2012-02-20 13:44:01,Case384
2012-02-20 13:54:01,Case385
2012-02-20 14:03:26,Case386
2012-02-20 14:06:14,Case387
2012-02-20 14:14:44,Case388
2012-02-20 15:00:49,Case389
2012-02-20 15:14:06,Case390
2012-02-20 15:04:12,Case391
2012-02-20 15:50:56,Case392
2012-02-20 16:01:56,Case393
2012-02-20 15:41:49,Case394
2012-02-20 15:54:20,Case395
2012-02-20 16:12:01,Case396
2012-02-20 17:04:44,Case397
2012-02-20 17:26:42,Case398
2012-02-20 17:00:53,Case399
2012-02-20 17:14:27,Case400
2012-02-20 17:06:01,Case401
2012-02-20 17:46:21,Case402
2012-02-20 17:50:56,Case403
2012-02-20 19:21:01,Case404
2012-02-20 18:42:26,Case405
2012-02-20 19:08:45,Case406
2012-02-20 18:45:28,Case407
2012-02-20 19:32:38,Case408
2012-02-20 20:32:30,Case409
2012-02-20 19:39:28,Case410
2012-02-20 20:01:33,Case411
2012-02-20 19:55:07,Case412
2012-02-20 20:14:14,Case413
2012-02-20 21:08:22,Case414
2012-02-20 20:55:47,Case415
2012-02-20 21:00:36,Case416
2012-02-20 20:45:57,Case417
2012-02-20 20:36:34,Case418
2012-02-20 22:10:13,Case419
2012-02-20 22:09:49,Case420
2012-02-21 00:11:28,Case421
2012-02-20 23:50:35,Case422
2012-02-21 00:44:15,Case423
2012-02-21 01:01:03,Case424
2012-02-21 02:07:00,Case425
2012-02-21 03:32:51,Case426
2012-02-21 05:17:09,Case427
2012-02-21 09:08:09,Case428
2012-02-21 08:36:20,Case429
2012-02-21 09:04:03,Case430
2012-02-21 09:16:13,Case431
2012-02-21 09:56:01,Case432
2012-02-21 09:42:10,Case433
2012-02-21 10:04:44,Case434
2012-02-21 10:23:42,Case435
2012-02-21 11:08:22,Case436
2012-02-21 11:11:05,Case437
2012-02-21 11:10:36,Case438
2012-02-21 11:28:19,Case439
2012-02-21 11:31:32,Case440
2012-02-21 10:49:20,Case441
2012-02-21 10:57:06,Case442
2012-02-21 12:16:46,Case443
2012-02-21 12:30:25,Case444
2012-02-21 12:09:23,Case445
2012-02-21 11:40:32,Case446
2012-02-21 11:45:04,Case447
2012-02-21 11:43:59,Case448
2012-02-21 13:33:45,Case449
2012-02-21 13:22:08,Case450
2012-02-21 13:19:00,Case451
2012-02-21 13:13:19,Case452
2012-02-21 13:06:20,Case453
2012-02-21 12:53:25,Case454
2012-02-21 12:37:23,Case455
2012-02-21 14:15:17,Case456
2012-02-21 13:40:49,Case457
2012-02-21 14:02:50,Case458
2012-02-21 14:39:30,Case459
2012-02-21 14:42:26,Case460
2012-02-21 15:03:40,Case461
2012-02-21 15:12:22,Case462
2012-02-21 16:16:10,Case463
2012-02-21 16:02:45,Case464
2012-02-21 16:38:11,Case465
2012-02-21 16:37:56,Case466
2012-02-21 16:54:51,Case467
2012-02-21 18:34:04,Case468
2012-02-21 18:09:13,Case469
2012-02-21 17:44:58,Case470
2012-02-21 17:36:38,Case471
2012-02-21 18:09:34,Case472
2012-02-21 19:20:32,Case473
2012-02-21 18:58:06,Case474
2012-02-21 19:19:49,Case475
2012-02-21 19:03:40,Case476
2012-02-21 20:00:30,Case477
2012-02-21 19:38:52,Case478
2012-02-21 19:54:53,Case479
2012-02-21 21:51:12,Case480
2012-02-21 21:35:30,Case481
2012-02-21 23:26:11,Case482
2012-02-21 22:35:47,Case483
2012-02-21 23:36:48,Case484
2012-02-22 04:25:30,Case485
2012-02-22 06:28:41,Case486
2012-02-22 06:28:47,Case487
2012-02-22 08:36:46,Case488
2012-02-22 09:25:32,Case489
2012-02-22 09:30:44,Case490
2012-02-22 10:28:52,Case491
2012-02-22 10:16:12,Case492
2012-02-22 09:50:54,Case493
2012-02-22 10:17:19,Case494
2012-02-22 09:57:16,Case495
2012-02-22 11:15:01,Case496
2012-02-22 11:29:03,Case497
2012-02-22 11:13:57,Case498
2012-02-22 11:07:34,Case499
2012-02-22 10:47:27,Case500
2012-02-22 10:54:11,Case501
2012-02-22 11:48:49,Case502
2012-02-22 12:01:51,Case503
2012-02-22 12:23:46,Case504
2012-02-22 12:26:37,Case505
2012-02-22 12:18:11,Case506
2012-02-22 13:26:56,Case507
2012-02-22 12:44:22,Case508
2012-02-22 13:07:25,Case509
2012-02-22 14:13:12,Case510
2012-02-22 14:31:36,Case511
2012-02-22 13:44:11,Case512
2012-02-22 13:35:41,Case513
2012-02-22 14:22:06,Case514
2012-02-22 14:52:48,Case515
2012-02-22 15:17:00,Case516
2012-02-22 16:12:37,Case517
2012-02-22 16:22:51,Case518
2012-02-22 16:37:23,Case519
2012-02-22 16:40:46,Case520
2012-02-22 16:37:48,Case521
2012-02-22 17:06:39,Case522
2012-02-22 17:15:31,Case523
2012-02-22 18:15:04,Case524
2012-02-22 18:28:24,Case525
2012-02-22 19:19:59,Case526
2012-02-22 18:43:36,Case527
2012-02-22 19:59:33,Case528
2012-02-22 19:42:01,Case529
2012-02-22 20:08:59,Case530
2012-02-22 21:26:58,Case531
2012-02-22 21:00:33,Case532
2012-02-22 21:26:19,Case533
2012-02-22 20:43:10,Case534
