caseid,task,enabled:time,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,W_Completeren aanvraag,2012-02-13 20:42:08,2012-02-13 20:42:08,2012-02-13 20:44:55,10228.0,290,2.0151291657420343,167
1,W_Nabellen offertes,2012-02-13 20:44:55,2012-02-13 20:44:55,2012-02-13 20:47:21,10889.0,290,1.4965995274583261,146
1,W_Valideren aanvraag,2012-02-13 20:47:21,2012-02-13 20:47:21,2012-02-13 20:50:02,10931.0,290,2.288837834662629,161
1,W_Nabellen incomplete dossiers,2012-02-13 20:50:02,2012-02-13 20:50:02,2012-02-13 20:51:52,10982.0,290,1.560940906183508,110
1,W_Valideren aanvraag,2012-02-13 20:51:52,2012-02-13 20:51:52,2012-02-13 20:54:42,11259.0,290,2.288837834662629,170
1,W_Nabellen incomplete dossiers,2012-02-13 20:54:42,2012-02-13 20:54:42,2012-02-13 20:56:24,10931.0,290,1.560940906183508,102
1,W_Valideren aanvraag,2012-02-13 20:56:24,2012-02-13 20:56:24,2012-02-13 20:59:43,10789.0,290,2.288837834662629,199
1,W_Nabellen incomplete dossiers,2012-02-13 20:59:43,2012-02-13 20:59:43,2012-02-13 21:01:27,10931.0,290,1.560940906183508,104
1,W_Valideren aanvraag,2012-02-13 21:01:27,2012-02-13 21:01:27,2012-02-13 21:05:07,10138.0,290,2.288837834662629,220
1,W_Nabellen incomplete dossiers,2012-02-13 21:05:07,2012-02-13 21:05:07,2012-02-13 21:06:56,10809.0,290,1.560940906183508,109
1,W_Valideren aanvraag,2012-02-13 21:06:56,2012-02-13 21:06:56,2012-02-13 21:10:48,11049.0,290,2.288837834662629,232
2,W_Completeren aanvraag,2012-02-13 21:41:51,2012-02-13 21:41:51,2012-02-13 21:44:38,11300.0,290,2.0151291657420343,167
2,W_Completeren aanvraag,2012-02-13 21:44:38,2012-02-13 21:44:38,2012-02-13 21:47:10,11009.0,290,2.0151291657420343,152
2,W_Completeren aanvraag,2012-02-13 21:47:10,2012-02-13 21:47:10,2012-02-13 21:49:34,11289.0,290,2.0151291657420343,144
2,W_Completeren aanvraag,2012-02-13 21:49:34,2012-02-13 21:49:34,2012-02-13 21:51:54,10982.0,290,2.0151291657420343,140
2,W_Nabellen offertes,2012-02-13 21:51:54,2012-02-13 21:51:54,2012-02-13 21:54:00,10779.0,290,1.4965995274583261,126
2,W_Valideren aanvraag,2012-02-13 21:54:00,2012-02-13 21:54:00,2012-02-13 21:56:15,11003.0,290,2.288837834662629,135
3,W_Beoordelen fraude,2012-02-13 23:39:54,2012-02-13 23:39:54,2012-02-13 23:42:46,10779.0,290,1.001501168300547,172
3,W_Afhandelen leads,2012-02-13 23:42:46,2012-02-13 23:42:46,2012-02-13 23:45:13,11203.0,290,1.517955278238281,147
3,W_Completeren aanvraag,2012-02-13 23:45:13,2012-02-13 23:45:13,2012-02-13 23:47:33,11000.0,290,2.0151291657420343,140
3,W_Completeren aanvraag,2012-02-13 23:47:33,2012-02-13 23:47:33,2012-02-13 23:49:44,11289.0,290,2.0151291657420343,131
3,W_Completeren aanvraag,2012-02-13 23:49:44,2012-02-13 23:49:44,2012-02-13 23:51:50,11299.0,290,2.0151291657420343,126
3,W_Nabellen offertes,2012-02-13 23:51:50,2012-02-13 23:51:50,2012-02-13 23:53:43,11259.0,290,1.4965995274583261,113
3,W_Valideren aanvraag,2012-02-13 23:53:43,2012-02-13 23:53:43,2012-02-13 23:56:00,11179.0,290,2.288837834662629,137
3,W_Nabellen incomplete dossiers,2012-02-13 23:56:00,2012-02-13 23:56:00,2012-02-13 23:57:32,10863.0,290,1.560940906183508,92
3,W_Valideren aanvraag,2012-02-13 23:57:32,2012-02-13 23:57:32,2012-02-14 00:00:29,11299.0,290,2.288837834662629,177
3,W_Nabellen incomplete dossiers,2012-02-14 00:00:29,2012-02-14 00:00:29,2012-02-14 00:02:22,10932.0,290,1.560940906183508,113
3,W_Valideren aanvraag,2012-02-14 00:02:22,2012-02-14 00:02:22,2012-02-14 00:08:20,11201.0,290,2.288837834662629,358
4,W_Beoordelen fraude,2012-02-14 00:25:37,2012-02-14 00:25:37,2012-02-14 00:28:27,11304.0,290,1.001501168300547,170
5,W_Completeren aanvraag,2012-02-14 00:26:52,2012-02-14 00:26:52,2012-02-14 00:29:41,10972.0,291,2.0151291657420343,169
4,W_Afhandelen leads,2012-02-14 00:28:27,2012-02-14 00:28:27,2012-02-14 00:31:06,NOT_SET,291,1.517955278238281,159
5,W_Completeren aanvraag,2012-02-14 00:29:41,2012-02-14 00:29:41,2012-02-14 00:32:18,10912.0,291,2.0151291657420343,157
5,W_Nabellen offertes,2012-02-14 00:32:18,2012-02-14 00:32:18,2012-02-14 00:34:42,10972.0,290,1.4965995274583261,144
6,W_Completeren aanvraag,2012-02-14 00:33:00,2012-02-14 00:33:00,2012-02-14 00:35:49,11019.0,291,2.0151291657420343,169
6,W_Nabellen offertes,2012-02-14 00:35:49,2012-02-14 00:35:49,2012-02-14 00:38:23,10609.0,291,1.4965995274583261,154
5,W_Valideren aanvraag,2012-02-14 00:34:42,2012-02-14 00:34:42,2012-02-14 00:39:07,11049.0,291,2.288837834662629,265
7,W_Beoordelen fraude,2012-02-14 00:38:16,2012-02-14 00:38:16,2012-02-14 00:41:06,10779.0,292,1.001501168300547,170
6,W_Valideren aanvraag,2012-02-14 00:38:23,2012-02-14 00:38:23,2012-02-14 00:42:43,11201.0,292,3.288837834662629,260
7,W_Afhandelen leads,2012-02-14 00:41:06,2012-02-14 00:41:06,2012-02-14 00:43:45,11001.0,291,1.517955278238281,159
8,W_Afhandelen leads,2012-02-14 01:46:25,2012-02-14 01:46:25,2012-02-14 01:49:16,11001.0,290,1.517955278238281,171
9,W_Completeren aanvraag,2012-02-14 01:46:53,2012-02-14 01:46:53,2012-02-14 01:49:42,10933.0,291,2.0151291657420343,169
9,W_Nabellen offertes,2012-02-14 01:49:42,2012-02-14 01:49:42,2012-02-14 01:52:15,10935.0,290,1.4965995274583261,153
9,W_Valideren aanvraag,2012-02-14 01:52:15,2012-02-14 01:52:15,2012-02-14 01:56:32,11121.0,290,2.288837834662629,257
9,W_Nabellen incomplete dossiers,2012-02-14 01:56:32,2012-02-14 01:56:32,2012-02-14 01:58:47,11289.0,290,1.560940906183508,135
9,W_Valideren aanvraag,2012-02-14 01:58:47,2012-02-14 01:58:47,2012-02-14 02:03:58,10931.0,290,2.288837834662629,311
10,W_Completeren aanvraag,2012-02-14 02:01:36,2012-02-14 02:01:36,2012-02-14 02:04:25,10982.0,291,2.0151291657420343,169
9,W_Nabellen incomplete dossiers,2012-02-14 02:03:58,2012-02-14 02:03:58,2012-02-14 02:06:15,11079.0,291,1.560940906183508,137
10,W_Nabellen offertes,2012-02-14 02:04:25,2012-02-14 02:04:25,2012-02-14 02:06:57,11009.0,291,1.4965995274583261,152
10,W_Valideren aanvraag,2012-02-14 02:06:57,2012-02-14 02:06:57,2012-02-14 02:11:00,10912.0,291,3.288837834662629,243
9,W_Valideren aanvraag,2012-02-14 02:06:15,2012-02-14 02:06:15,2012-02-14 02:11:46,10910.0,291,2.288837834662629,331
10,W_Nabellen incomplete dossiers,2012-02-14 02:11:00,2012-02-14 02:11:00,2012-02-14 02:13:14,11299.0,291,1.560940906183508,134
10,W_Valideren aanvraag,2012-02-14 02:13:14,2012-02-14 02:13:14,2012-02-14 02:18:18,10935.0,290,2.288837834662629,304
11,W_Beoordelen fraude,2012-02-14 03:11:30,2012-02-14 03:11:30,2012-02-14 03:14:20,11304.0,290,1.001501168300547,170
11,W_Afhandelen leads,2012-02-14 03:14:20,2012-02-14 03:14:20,2012-02-14 03:16:57,10809.0,290,1.517955278238281,157
12,W_Afhandelen leads,2012-02-14 03:39:44,2012-02-14 03:39:44,2012-02-14 03:42:34,11201.0,290,1.517955278238281,170
13,W_Afhandelen leads,2012-02-14 05:46:24,2012-02-14 05:46:24,2012-02-14 05:49:14,10809.0,290,1.517955278238281,170
13,W_Completeren aanvraag,2012-02-14 05:49:14,2012-02-14 05:49:14,2012-02-14 05:51:49,10910.0,290,2.0151291657420343,155
13,W_Nabellen offertes,2012-02-14 05:51:49,2012-02-14 05:51:49,2012-02-14 05:54:08,11179.0,290,1.4965995274583261,139
13,W_Valideren aanvraag,2012-02-14 05:54:08,2012-02-14 05:54:08,2012-02-14 05:58:13,10881.0,290,2.288837834662629,245
14,W_Completeren aanvraag,2012-02-14 08:38:22,2012-02-14 08:38:22,2012-02-14 08:41:09,11299.0,290,2.0151291657420343,167
14,W_Completeren aanvraag,2012-02-14 08:41:09,2012-02-14 08:41:09,2012-02-14 08:43:41,11019.0,290,2.0151291657420343,152
14,W_Nabellen offertes,2012-02-14 08:43:41,2012-02-14 08:43:41,2012-02-14 08:45:56,10913.0,290,1.4965995274583261,135
14,W_Valideren aanvraag,2012-02-14 08:45:56,2012-02-14 08:45:56,2012-02-14 08:49:51,NOT_SET,290,2.288837834662629,235
15,W_Beoordelen fraude,2012-02-14 08:59:47,2012-02-14 08:59:47,2012-02-14 09:02:37,11304.0,290,1.001501168300547,170
16,W_Afhandelen leads,2012-02-14 09:00:52,2012-02-14 09:00:52,2012-02-14 09:03:41,10809.0,291,1.517955278238281,169
15,W_Afhandelen leads,2012-02-14 09:02:37,2012-02-14 09:02:37,2012-02-14 09:05:11,10609.0,291,2.517955278238281,154
16,W_Completeren aanvraag,2012-02-14 09:03:41,2012-02-14 09:03:41,2012-02-14 09:06:13,10809.0,291,2.0151291657420343,152
