caseid,task,enabled:time,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,W_Beoordelen fraude,2012-02-13 20:47:01,2012-02-13 20:47:01,2012-02-13 20:49:52,11339.0,290,1.001501168300547,171
1,W_Afhandelen leads,2012-02-13 20:49:52,2012-02-13 20:49:52,2012-02-13 20:52:22,11122.0,290,1.517955278238281,150
2,W_Beoordelen fraude,2012-02-13 20:52:04,2012-02-13 20:52:04,2012-02-13 20:54:55,10779.0,291,1.001501168300547,171
2,W_Afhandelen leads,2012-02-13 20:54:55,2012-02-13 20:54:55,2012-02-13 20:57:25,10913.0,290,1.517955278238281,150
3,W_Beoordelen fraude,2012-02-13 21:30:29,2012-02-13 21:30:29,2012-02-13 21:33:21,11339.0,290,1.001501168300547,172
3,W_Afhandelen leads,2012-02-13 21:33:21,2012-02-13 21:33:21,2012-02-13 21:35:50,10609.0,290,1.517955278238281,149
4,W_Completeren aanvraag,2012-02-13 22:10:24,2012-02-13 22:10:24,2012-02-13 22:13:11,11201.0,290,2.0151291657420343,167
4,W_Completeren aanvraag,2012-02-13 22:13:11,2012-02-13 22:13:11,2012-02-13 22:15:43,10889.0,290,2.0151291657420343,152
5,W_Afhandelen leads,2012-02-13 22:15:10,2012-02-13 22:15:10,2012-02-13 22:18:00,10629.0,291,1.517955278238281,170
4,W_Completeren aanvraag,2012-02-13 22:15:43,2012-02-13 22:15:43,2012-02-13 22:18:06,10913.0,291,2.0151291657420343,143
4,W_Nabellen offertes,2012-02-13 22:18:06,2012-02-13 22:18:06,2012-02-13 22:20:14,11181.0,291,1.4965995274583261,128
5,W_Completeren aanvraag,2012-02-13 22:18:00,2012-02-13 22:18:00,2012-02-13 22:20:32,10779.0,291,3.0151291657420343,152
4,W_Valideren aanvraag,2012-02-13 22:20:14,2012-02-13 22:20:14,2012-02-13 22:22:26,11203.0,291,2.288837834662629,132
5,W_Completeren aanvraag,2012-02-13 22:20:32,2012-02-13 22:20:32,2012-02-13 22:22:55,11000.0,292,2.0151291657420343,143
6,W_Afhandelen leads,2012-02-13 22:20:26,2012-02-13 22:20:26,2012-02-13 22:23:16,10861.0,292,1.517955278238281,170
4,W_Nabellen incomplete dossiers,2012-02-13 22:22:26,2012-02-13 22:22:26,2012-02-13 22:24:01,11001.0,292,1.560940906183508,95
5,W_Nabellen offertes,2012-02-13 22:22:55,2012-02-13 22:22:55,2012-02-13 22:25:03,10972.0,292,1.4965995274583261,128
4,W_Valideren aanvraag,2012-02-13 22:24:01,2012-02-13 22:24:01,2012-02-13 22:26:47,10929.0,291,2.288837834662629,166
5,W_Valideren aanvraag,2012-02-13 22:25:03,2012-02-13 22:25:03,2012-02-13 22:27:16,10789.0,291,3.288837834662629,133
7,W_Afhandelen leads,2012-02-13 22:31:43,2012-02-13 22:31:43,2012-02-13 22:34:33,10609.0,290,1.517955278238281,170
8,W_Beoordelen fraude,2012-02-13 22:55:55,2012-02-13 22:55:55,2012-02-13 22:58:47,10779.0,290,1.001501168300547,172
9,W_Completeren aanvraag,2012-02-13 22:56:23,2012-02-13 22:56:23,2012-02-13 22:59:10,10972.0,291,2.0151291657420343,167
8,W_Afhandelen leads,2012-02-13 22:58:47,2012-02-13 22:58:47,2012-02-13 23:01:15,10909.0,291,1.517955278238281,148
9,W_Nabellen offertes,2012-02-13 22:59:10,2012-02-13 22:59:10,2012-02-13 23:01:34,11049.0,291,1.4965995274583261,144
8,W_Completeren aanvraag,2012-02-13 23:01:15,2012-02-13 23:01:15,2012-02-13 23:03:36,10629.0,291,2.0151291657420343,141
9,W_Valideren aanvraag,2012-02-13 23:01:34,2012-02-13 23:01:34,2012-02-13 23:04:04,11122.0,291,2.288837834662629,150
8,W_Completeren aanvraag,2012-02-13 23:03:36,2012-02-13 23:03:36,2012-02-13 23:05:48,10913.0,291,2.0151291657420343,132
