caseid,timestamp
Case1,2016-05-18 21:57:24
Case2,2016-05-18 23:54:25
Case3,2016-05-19 00:05:54
Case4,2016-05-19 00:59:12
Case5,2016-05-19 02:15:14
Case6,2016-05-19 04:17:15
Case7,2016-05-19 05:05:58
Case8,2016-05-19 06:48:19
Case9,2016-05-19 10:51:28
Case10,2016-05-19 11:28:01
Case11,2016-05-19 13:39:25
Case12,2016-05-19 15:34:05
Case13,2016-05-19 16:57:23
Case14,2016-05-19 18:26:03
Case15,2016-05-19 19:13:16
Case16,2016-05-19 20:33:54
Case17,2016-05-19 21:38:57
Case18,2016-05-19 22:22:35
Case19,2016-05-20 00:40:34
Case20,2016-05-20 00:58:23
Case21,2016-05-20 03:31:40
Case22,2016-05-20 04:37:48
Case23,2016-05-20 04:57:50
Case24,2016-05-20 06:34:07
Case25,2016-05-20 09:01:09
Case26,2016-05-20 10:37:17
Case27,2016-05-20 16:01:08
Case28,2016-05-20 18:26:27
Case29,2016-05-20 21:15:35
Case30,2016-05-20 22:12:33
Case31,2016-05-20 23:18:53
Case32,2016-05-21 01:41:51
Case33,2016-05-21 01:56:29
Case34,2016-05-21 03:05:48
Case35,2016-05-21 09:21:18
Case36,2016-05-21 10:43:07
Case37,2016-05-21 13:19:53
Case38,2016-05-21 19:17:51
Case39,2016-05-21 20:04:35
Case40,2016-05-22 01:15:21
Case41,2016-05-22 11:07:31
Case42,2016-05-22 13:14:33
Case43,2016-05-22 18:42:29
Case44,2016-05-22 20:39:18
Case45,2016-05-22 23:08:59
Case46,2016-05-23 00:37:16
Case47,2016-05-23 03:49:48
Case48,2016-05-23 06:06:50
Case49,2016-05-23 13:16:25
Case50,2016-05-23 14:03:53
Case51,2016-05-23 15:08:00
Case52,2016-05-23 16:28:34
Case53,2016-05-23 17:01:25
Case54,2016-05-23 18:04:47
Case55,2016-05-23 18:28:48
Case56,2016-05-23 19:25:38
Case57,2016-05-23 20:15:22
Case58,2016-05-23 21:05:14
Case59,2016-05-23 22:41:33
Case60,2016-05-24 01:10:09
Case61,2016-05-24 04:05:05
Case62,2016-05-24 12:02:08
Case63,2016-05-24 16:33:49
Case64,2016-05-24 19:47:59
Case65,2016-05-24 20:43:15
Case66,2016-05-24 21:00:08
Case67,2016-05-24 22:31:39
Case68,2016-05-24 23:14:14
Case69,2016-05-25 00:31:53
Case70,2016-05-25 02:28:42
Case71,2016-05-25 07:45:10
Case72,2016-05-25 09:00:50
Case73,2016-05-25 13:13:17
Case74,2016-05-25 14:31:33
Case75,2016-05-25 16:24:08
Case76,2016-05-25 17:41:54
Case77,2016-05-25 18:04:23
Case78,2016-05-25 18:46:11
Case79,2016-05-25 19:41:15
Case80,2016-05-25 21:18:58
Case81,2016-05-25 22:34:35
Case82,2016-05-25 23:02:59
Case83,2016-05-26 00:03:45
Case84,2016-05-26 01:35:58
Case85,2016-05-26 02:33:22
Case86,2016-05-26 06:02:31
Case87,2016-05-26 10:58:39
Case88,2016-05-26 13:52:08
Case89,2016-05-26 15:28:57
Case90,2016-05-26 16:34:30
Case91,2016-05-26 17:16:40
Case92,2016-05-26 18:45:32
Case93,2016-05-26 19:06:01
Case94,2016-05-26 20:26:14
Case95,2016-05-26 21:29:40
Case96,2016-05-26 22:34:32
Case97,2016-05-27 00:50:38
Case98,2016-05-27 04:45:48
Case99,2016-05-27 06:28:55
Case100,2016-05-27 09:05:16
Case101,2016-05-27 14:41:01
Case102,2016-05-27 16:08:29
Case103,2016-05-27 17:46:59
Case104,2016-05-27 19:59:12
Case105,2016-05-27 21:23:57
Case106,2016-05-27 22:10:20
Case107,2016-05-27 23:49:48
Case108,2016-05-28 01:11:39
Case109,2016-05-28 02:02:03
Case110,2016-05-28 04:57:30
Case111,2016-05-28 18:33:06
Case112,2016-05-28 22:30:31
Case113,2016-05-28 23:42:19
Case114,2016-05-29 01:02:37
Case115,2016-05-29 02:06:03
Case116,2016-05-29 08:07:19
Case117,2016-05-29 16:06:55
Case118,2016-05-29 18:18:21
Case119,2016-05-29 21:37:01
Case120,2016-05-30 01:00:23
Case121,2016-05-30 02:06:50
Case122,2016-05-30 05:51:50
Case123,2016-05-30 06:37:50
Case124,2016-05-30 10:48:02
Case125,2016-05-30 10:57:07
Case126,2016-05-30 12:11:19
Case127,2016-05-30 15:36:56
Case128,2016-05-30 16:27:05
Case129,2016-05-30 17:28:01
Case130,2016-05-30 17:58:46
Case131,2016-05-30 19:04:03
Case132,2016-05-30 21:15:56
Case133,2016-05-30 22:15:42
Case134,2016-05-30 23:39:25
Case135,2016-05-31 00:04:50
Case136,2016-05-31 01:52:41
Case137,2016-05-31 03:57:50
Case138,2016-05-31 04:58:00
Case139,2016-05-31 07:45:44
Case140,2016-05-31 11:54:27
Case141,2016-05-31 15:14:47
Case142,2016-05-31 16:10:09
Case143,2016-05-31 17:34:47
Case144,2016-05-31 18:52:46
Case145,2016-05-31 19:38:39
Case146,2016-05-31 20:39:29
Case147,2016-05-31 21:45:23
Case148,2016-05-31 22:51:50
Case149,2016-05-31 23:26:08
Case150,2016-06-01 00:47:52
Case151,2016-06-01 01:17:54
