caseid,timestamp
Case1,2020-08-17 15:00:17
Case2,2020-08-17 15:23:59
Case3,2020-08-17 16:11:24
Case4,2020-08-17 17:05:39
Case5,2020-08-17 18:08:16
Case6,2020-08-17 19:32:31
Case7,2020-08-17 20:17:05
Case8,2020-08-17 21:39:31
Case9,2020-08-17 22:20:56
Case10,2020-08-18 04:51:11
Case11,2020-08-18 07:49:27
Case12,2020-08-18 09:11:49
Case13,2020-08-18 11:01:02
Case14,2020-08-18 12:41:48
Case15,2020-08-18 13:28:09
Case16,2020-08-18 14:30:42
Case17,2020-08-18 15:20:39
Case18,2020-08-18 16:54:10
Case19,2020-08-18 18:00:05
Case20,2020-08-18 18:45:10
Case21,2020-08-18 19:31:27
Case22,2020-08-18 23:06:51
Case23,2020-08-19 07:26:01
Case24,2020-08-19 12:36:09
Case25,2020-08-19 13:05:55
Case26,2020-08-19 14:05:16
Case27,2020-08-19 16:33:09
Case28,2020-08-19 17:02:52
Case29,2020-08-19 18:40:18
Case30,2020-08-19 19:58:43
Case31,2020-08-19 21:00:32
Case32,2020-08-20 04:34:49
Case33,2020-08-20 05:12:32
Case34,2020-08-20 11:26:19
Case35,2020-08-20 13:43:20
Case36,2020-08-20 14:00:58
Case37,2020-08-20 15:49:04
Case38,2020-08-20 16:29:38
Case39,2020-08-20 17:48:16
Case40,2020-08-20 18:38:39
Case41,2020-08-20 19:46:53
Case42,2020-08-20 20:12:08
Case43,2020-08-20 21:05:49
Case44,2020-08-20 22:25:21
Case45,2020-08-20 23:38:23
Case46,2020-08-21 00:09:30
Case47,2020-08-21 04:38:19
Case48,2020-08-21 05:31:31
Case49,2020-08-21 07:11:58
Case50,2020-08-21 08:56:37
Case51,2020-08-21 10:31:28
Case52,2020-08-21 11:55:55
Case53,2020-08-21 12:18:14
Case54,2020-08-21 13:24:42
Case55,2020-08-21 14:33:25
Case56,2020-08-21 16:36:52
Case57,2020-08-21 17:30:40
Case58,2020-08-21 18:31:51
Case59,2020-08-21 19:10:44
Case60,2020-08-21 20:43:04
Case61,2020-08-21 23:55:40
Case62,2020-08-22 01:19:50
Case63,2020-08-22 05:27:38
Case64,2020-08-22 12:04:37
Case65,2020-08-22 13:15:35
Case66,2020-08-22 16:13:59
Case67,2020-08-22 17:01:29
Case68,2020-08-22 18:29:08
Case69,2020-08-23 11:48:29
Case70,2020-08-23 12:20:47
Case71,2020-08-23 13:43:25
Case72,2020-08-23 14:49:21
Case73,2020-08-23 16:26:00
Case74,2020-08-23 17:10:49
Case75,2020-08-23 18:34:28
Case76,2020-08-24 00:36:07
Case77,2020-08-24 03:38:01
Case78,2020-08-24 07:32:41
Case79,2020-08-24 10:57:28
Case80,2020-08-24 11:44:19
Case81,2020-08-24 12:38:00
Case82,2020-08-24 13:42:44
Case83,2020-08-24 14:47:28
Case84,2020-08-24 15:31:42
Case85,2020-08-24 16:03:42
Case86,2020-08-24 17:33:36
Case87,2020-08-24 18:52:11
Case88,2020-08-24 19:14:17
Case89,2020-08-24 20:14:00
Case90,2020-08-24 21:44:19
Case91,2020-08-25 00:05:32
Case92,2020-08-25 01:05:14
Case93,2020-08-25 02:21:24
Case94,2020-08-25 04:20:47
Case95,2020-08-25 05:02:39
Case96,2020-08-25 07:58:16
Case97,2020-08-25 10:33:47
Case98,2020-08-25 11:24:02
Case99,2020-08-25 12:30:51
Case100,2020-08-25 13:59:13
Case101,2020-08-25 14:20:56
Case102,2020-08-25 15:56:25
Case103,2020-08-25 16:50:05
Case104,2020-08-25 17:44:42
Case105,2020-08-25 18:47:35
Case106,2020-08-25 19:12:31
Case107,2020-08-25 20:21:10
Case108,2020-08-25 21:17:42
Case109,2020-08-26 02:24:03
Case110,2020-08-26 03:03:07
Case111,2020-08-26 07:06:35
Case112,2020-08-26 10:41:28
Case113,2020-08-26 11:30:53
Case114,2020-08-26 12:00:59
Case115,2020-08-26 13:41:03
Case116,2020-08-26 14:29:44
Case117,2020-08-26 15:38:24
Case118,2020-08-26 16:54:08
Case119,2020-08-26 17:06:37
Case120,2020-08-26 19:00:20
Case121,2020-08-26 19:30:53
Case122,2020-08-26 20:37:35
Case123,2020-08-27 00:13:10
Case124,2020-08-27 03:18:17
Case125,2020-08-27 09:35:36
Case126,2020-08-27 12:19:57
Case127,2020-08-27 13:07:12
Case128,2020-08-27 14:52:26
Case129,2020-08-27 15:21:11
Case130,2020-08-27 16:18:57
Case131,2020-08-27 17:51:18
Case132,2020-08-27 18:43:26
Case133,2020-08-27 19:49:31
Case134,2020-08-27 21:27:28
Case135,2020-08-27 23:35:41
Case136,2020-08-28 01:02:18
Case137,2020-08-28 02:30:36
Case138,2020-08-28 07:20:58
Case139,2020-08-28 09:10:49
Case140,2020-08-28 10:29:06
Case141,2020-08-28 11:31:23
Case142,2020-08-28 12:52:11
Case143,2020-08-28 13:12:29
Case144,2020-08-28 14:05:22
Case145,2020-08-28 15:30:46
Case146,2020-08-28 16:12:28
Case147,2020-08-28 17:22:24
Case148,2020-08-28 18:13:08
Case149,2020-08-28 19:49:13
Case150,2020-08-28 20:21:10
Case151,2020-08-28 22:24:07
Case152,2020-08-29 12:46:43
Case153,2020-08-29 13:41:03
Case154,2020-08-29 14:51:18
Case155,2020-08-29 16:01:58
Case156,2020-08-29 17:26:31
Case157,2020-08-29 18:17:43
Case158,2020-08-29 19:41:14
Case159,2020-08-30 12:27:33
