caseid,task,enabled:time,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,A,2020-08-17 18:22:02.384036,2020-08-17 18:22:02.384036,2020-08-17 18:27:37.384036,ABC-000001,6,1.0431617264690587,0
1,B,2020-08-17 18:27:37.384036,2020-08-17 18:27:37.384036,2020-08-17 18:32:04.384036,ABC-000001,6,1.0436817472698907,0
1,E,2020-08-17 18:32:04.384036,2020-08-17 18:32:04.384036,2020-08-17 18:35:45.384036,ABC-000001,6,1.0422256890275612,0
1,F,2020-08-17 18:35:45.384036,2020-08-17 18:35:45.384036,2020-08-17 18:39:49.384036,ABC-000001,6,1.03733749349974,0
1,C,2020-08-17 18:39:49.384036,2020-08-17 18:39:49.384036,2020-08-17 18:47:03.384036,ABC-000001,6,1.0390015600624025,0
1,D,2020-08-17 18:47:03.384036,2020-08-17 18:47:03.384036,2020-08-17 18:56:40.384036,ABC-000001,6,1.040665626625065,0
1,H,2020-08-17 18:56:40.384036,2020-08-17 18:56:40.384036,2020-08-17 19:01:23.384036,ABC-000001,6,1.0451378055122205,0
1,G,2020-08-17 19:01:23.384036,2020-08-17 19:01:23.384036,2020-08-17 19:02:04.384036,ABC-000001,6,1.0420176807072283,0
1,I,2020-08-17 19:02:04.384036,2020-08-17 19:02:04.384036,2020-08-17 19:12:57.384036,ABC-000001,6,1.0636505460218408,0
1,J,2020-08-17 19:12:57.384036,2020-08-17 19:12:57.384036,2020-08-17 19:15:32.384036,ABC-000001,6,1.3449817992719708,0
1,P,2020-08-17 19:15:32.384036,2020-08-17 19:15:32.384036,2020-08-17 19:18:07.384036,ABC-000001,6,1.0064482579303171,0
1,Q,2020-08-17 19:18:07.384036,2020-08-17 19:18:07.384036,2020-08-17 19:27:07.384036,DEF-000001,6,1.0520020800832033,0
1,R,2020-08-17 19:27:07.384036,2020-08-17 19:27:07.384036,2020-08-17 19:31:10.384036,DEF-000002,6,1.311804472178887,0
1,S,2020-08-17 19:31:10.384036,2020-08-17 19:31:10.384036,2020-08-17 19:32:55.384036,DEF-000001,7,1.0640665626625065,0
2,A,2020-08-17 19:27:44.456136,2020-08-17 19:27:44.456136,2020-08-17 19:33:11.456136,ABC-000001,7,1.0431617264690587,0
1,T,2020-08-17 19:32:55.384036,2020-08-17 19:32:55.384036,2020-08-17 19:33:57.384036,DEF-000003,7,1.0728029121164846,0
2,B,2020-08-17 19:33:11.456136,2020-08-17 19:33:11.456136,2020-08-17 19:37:32.456136,ABC-000001,7,1.0436817472698907,0
2,E,2020-08-17 19:37:32.456136,2020-08-17 19:37:32.456136,2020-08-17 19:41:13.456136,ABC-000001,6,1.0422256890275612,0
2,F,2020-08-17 19:41:13.456136,2020-08-17 19:41:13.456136,2020-08-17 19:45:16.456136,ABC-000001,6,1.03733749349974,0
2,C,2020-08-17 19:45:16.456136,2020-08-17 19:45:16.456136,2020-08-17 19:52:15.456136,ABC-000001,6,1.0390015600624025,0
3,A,2020-08-17 19:46:28.569820,2020-08-17 19:52:15.456136,2020-08-17 19:57:42.456136,ABC-000001,7,1.0431617264690587,1
2,D,2020-08-17 19:52:15.456136,2020-08-17 19:57:42.456136,2020-08-17 20:06:14.456136,ABC-000001,7,1.040665626625065,1
3,B,2020-08-17 19:57:42.456136,2020-08-17 20:06:14.456136,2020-08-17 20:10:26.456136,ABC-000001,7,1.0436817472698907,1
2,H,2020-08-17 20:06:14.456136,2020-08-17 20:10:26.456136,2020-08-17 20:14:40.456136,ABC-000001,7,1.0451378055122205,1
3,E,2020-08-17 20:10:26.456136,2020-08-17 20:14:40.456136,2020-08-17 20:18:12.456136,ABC-000001,7,1.0422256890275612,1
2,G,2020-08-17 20:14:40.456136,2020-08-17 20:18:12.456136,2020-08-17 20:19:25.456136,ABC-000001,7,1.0420176807072283,1
3,F,2020-08-17 20:18:12.456136,2020-08-17 20:19:25.456136,2020-08-17 20:23:18.456136,ABC-000001,7,1.03733749349974,1
2,I,2020-08-17 20:19:25.456136,2020-08-17 20:23:18.456136,2020-08-17 20:31:23.456136,ABC-000001,7,1.0636505460218408,1
3,C,2020-08-17 20:23:18.456136,2020-08-17 20:31:23.456136,2020-08-17 20:38:16.456136,ABC-000001,7,1.0390015600624025,1
2,J,2020-08-17 20:31:23.456136,2020-08-17 20:38:16.456136,2020-08-17 20:41:25.456136,ABC-000001,7,1.3449817992719708,1
3,D,2020-08-17 20:38:16.456136,2020-08-17 20:41:25.456136,2020-08-17 20:50:49.456136,ABC-000001,7,1.040665626625065,1
2,K,2020-08-17 20:41:25.456136,2020-08-17 20:50:49.456136,2020-08-17 20:53:57.456136,ABC-000001,7,1.0498179927197089,1
3,H,2020-08-17 20:50:49.456136,2020-08-17 20:53:57.456136,2020-08-17 20:58:18.456136,ABC-000001,7,1.0451378055122205,1
2,M,2020-08-17 20:53:57.456136,2020-08-17 20:58:18.456136,2020-08-17 21:01:18.456136,ABC-000001,7,1.015600624024961,1
3,G,2020-08-17 20:58:18.456136,2020-08-17 21:01:18.456136,2020-08-17 21:02:18.456136,ABC-000001,7,1.0420176807072283,0
3,I,2020-08-17 21:02:18.456136,2020-08-17 21:02:18.456136,2020-08-17 21:10:19.456136,ABC-000001,7,1.0636505460218408,0
3,J,2020-08-17 21:10:19.456136,2020-08-17 21:10:19.456136,2020-08-17 21:12:22.456136,ABC-000001,7,1.3449817992719708,0
3,P,2020-08-17 21:12:22.456136,2020-08-17 21:12:22.456136,2020-08-17 21:14:20.456136,ABC-000001,7,1.0064482579303171,0
3,Q,2020-08-17 21:14:20.456136,2020-08-17 21:14:20.456136,2020-08-17 21:28:24.456136,DEF-000001,7,1.0520020800832033,0
3,R,2020-08-17 21:28:24.456136,2020-08-17 21:28:24.456136,2020-08-17 21:33:14.456136,DEF-000002,7,1.311804472178887,0
3,S,2020-08-17 21:33:14.456136,2020-08-17 21:33:14.456136,2020-08-17 21:35:34.456136,DEF-000001,7,1.0640665626625065,0
3,T,2020-08-17 21:35:34.456136,2020-08-17 21:35:34.456136,2020-08-17 21:36:30.456136,DEF-000002,7,1.0728029121164846,0
2,U,2020-08-17 21:01:18.456136,2020-08-17 21:01:18.456136,2020-08-17 22:33:44.456136,GHI-000003,7,1.022464898595944,0
2,V,2020-08-17 22:33:44.456136,2020-08-17 22:33:44.456136,2020-08-17 22:38:02.456136,GHI-000002,6,1.0934997399895996,0
2,X,2020-08-17 22:38:02.456136,2020-08-17 22:38:02.456136,2020-08-17 23:58:09.456136,GHI-000002,6,1.0172646905876235,0
2,R,2020-08-17 23:58:09.456136,2020-08-17 23:58:09.456136,2020-08-18 00:04:14.456136,DEF-000002,6,1.311804472178887,0
2,S,2020-08-18 00:04:14.456136,2020-08-18 00:04:14.456136,2020-08-18 00:09:28.456136,DEF-000001,6,1.0640665626625065,0
2,T,2020-08-18 00:09:28.456136,2020-08-18 00:09:28.456136,2020-08-18 00:11:36.456136,DEF-000001,6,1.0728029121164846,0
2,I,2020-08-18 00:11:36.456136,2020-08-18 00:11:36.456136,2020-08-18 00:13:53.456136,ABC-000001,6,1.0636505460218408,0
2,J,2020-08-18 00:13:53.456136,2020-08-18 00:13:53.456136,2020-08-18 00:14:53.456136,ABC-000001,6,1.3449817992719708,0
2,P,2020-08-18 00:14:53.456136,2020-08-18 00:14:53.456136,2020-08-18 00:19:45.456136,ABC-000001,6,1.0064482579303171,0
2,Q,2020-08-18 00:19:45.456136,2020-08-18 00:19:45.456136,2020-08-18 00:30:44.456136,DEF-000001,6,1.0520020800832033,0
2,R,2020-08-18 00:30:44.456136,2020-08-18 00:30:44.456136,2020-08-18 00:41:20.456136,DEF-000003,6,1.311804472178887,0
2,S,2020-08-18 00:41:20.456136,2020-08-18 00:41:20.456136,2020-08-18 00:49:01.456136,DEF-000002,6,1.0640665626625065,0
2,T,2020-08-18 00:49:01.456136,2020-08-18 00:49:01.456136,2020-08-18 00:52:50.456136,DEF-000002,6,1.0728029121164846,0
2,I,2020-08-18 00:52:50.456136,2020-08-18 00:52:50.456136,2020-08-18 00:55:17.456136,ABC-000001,6,1.0636505460218408,0
2,J,2020-08-18 00:55:17.456136,2020-08-18 00:55:17.456136,2020-08-18 00:55:17.456136,ABC-000001,6,1.3449817992719708,0
2,P,2020-08-18 00:55:17.456136,2020-08-18 00:55:17.456136,2020-08-18 00:59:01.456136,ABC-000001,6,1.0064482579303171,0
2,Q,2020-08-18 00:59:01.456136,2020-08-18 00:59:01.456136,2020-08-18 01:16:00.456136,DEF-000003,6,1.0520020800832033,0
2,R,2020-08-18 01:16:00.456136,2020-08-18 01:16:00.456136,2020-08-18 01:29:29.456136,DEF-000001,6,1.311804472178887,0
2,S,2020-08-18 01:29:29.456136,2020-08-18 01:29:29.456136,2020-08-18 01:39:09.456136,DEF-000003,6,1.0640665626625065,0
2,T,2020-08-18 01:39:09.456136,2020-08-18 01:39:09.456136,2020-08-18 01:43:26.456136,DEF-000001,6,1.0728029121164846,0
2,I,2020-08-18 01:43:26.456136,2020-08-18 01:43:26.456136,2020-08-18 01:45:50.456136,ABC-000001,6,1.0636505460218408,0
2,J,2020-08-18 01:45:50.456136,2020-08-18 01:45:50.456136,2020-08-18 01:45:50.456136,ABC-000001,6,1.3449817992719708,0
2,K,2020-08-18 01:45:50.456136,2020-08-18 01:45:50.456136,2020-08-18 01:49:38.456136,ABC-000001,6,1.0498179927197089,0
2,N,2020-08-18 01:49:38.456136,2020-08-18 01:49:38.456136,2020-08-18 01:59:59.456136,ABC-000001,6,1.0142485699427977,0
4,A,2020-08-18 01:58:36.863691,2020-08-18 01:59:59.456136,2020-08-18 02:05:40.456136,ABC-000001,7,1.0431617264690587,0
4,B,2020-08-18 02:05:40.456136,2020-08-18 02:05:40.456136,2020-08-18 02:10:08.456136,ABC-000001,7,1.0436817472698907,0
4,E,2020-08-18 02:10:08.456136,2020-08-18 02:10:08.456136,2020-08-18 02:13:56.456136,ABC-000001,7,1.0422256890275612,0
4,F,2020-08-18 02:13:56.456136,2020-08-18 02:13:56.456136,2020-08-18 02:18:10.456136,ABC-000001,7,1.03733749349974,0
4,C,2020-08-18 02:18:10.456136,2020-08-18 02:18:10.456136,2020-08-18 02:25:48.456136,ABC-000001,7,1.0390015600624025,0
4,D,2020-08-18 02:25:48.456136,2020-08-18 02:25:48.456136,2020-08-18 02:35:44.456136,ABC-000001,7,1.040665626625065,0
4,H,2020-08-18 02:35:44.456136,2020-08-18 02:35:44.456136,2020-08-18 02:41:04.456136,ABC-000001,7,1.0451378055122205,0
4,G,2020-08-18 02:41:04.456136,2020-08-18 02:41:04.456136,2020-08-18 02:42:57.456136,ABC-000001,7,1.0420176807072283,0
4,I,2020-08-18 02:42:57.456136,2020-08-18 02:42:57.456136,2020-08-18 02:54:14.456136,ABC-000001,7,1.0636505460218408,0
4,J,2020-08-18 02:54:14.456136,2020-08-18 02:54:14.456136,2020-08-18 02:58:56.456136,ABC-000001,7,1.3449817992719708,0
4,K,2020-08-18 02:58:56.456136,2020-08-18 02:58:56.456136,2020-08-18 03:03:53.456136,ABC-000001,7,1.0498179927197089,0
4,O,2020-08-18 03:03:53.456136,2020-08-18 03:03:53.456136,2020-08-18 03:08:51.456136,ABC-000001,7,1.0142485699427977,0
2,Y,2020-08-18 01:59:59.456136,2020-08-18 01:59:59.456136,2020-08-18 03:25:02.456136,JKL-000001,7,1.0230889235569423,0
2,Z,2020-08-18 03:25:02.456136,2020-08-18 03:25:02.456136,2020-08-18 03:37:08.456136,JKL-000001,7,1.0908996359854395,0
4,BB,2020-08-18 03:08:51.456136,2020-08-18 03:08:51.456136,2020-08-18 04:25:26.456136,MNO-000001,7,1.0251690067602703,0
4,CC,2020-08-18 04:25:26.456136,2020-08-18 04:25:26.456136,2020-08-18 04:31:32.456136,MNO-000003,7,1.1121164846593863,0
2,AA,2020-08-18 03:37:08.456136,2020-08-18 03:37:08.456136,2020-08-18 04:55:40.456136,JKL-000002,7,1.0185127405096204,0
2,R,2020-08-18 04:55:40.456136,2020-08-18 04:55:40.456136,2020-08-18 05:03:25.456136,DEF-000003,7,1.311804472178887,0
2,S,2020-08-18 05:03:25.456136,2020-08-18 05:03:25.456136,2020-08-18 05:09:56.456136,DEF-000002,7,1.0640665626625065,0
2,T,2020-08-18 05:09:56.456136,2020-08-18 05:09:56.456136,2020-08-18 05:11:13.456136,DEF-000002,7,1.0728029121164846,0
2,I,2020-08-18 05:11:13.456136,2020-08-18 05:11:13.456136,2020-08-18 05:13:57.456136,ABC-000001,7,1.0636505460218408,0
2,J,2020-08-18 05:13:57.456136,2020-08-18 05:13:57.456136,2020-08-18 05:14:23.456136,ABC-000001,7,1.3449817992719708,0
2,P,2020-08-18 05:14:23.456136,2020-08-18 05:14:23.456136,2020-08-18 05:22:16.456136,ABC-000001,7,1.0064482579303171,0
4,DD,2020-08-18 04:31:32.456136,2020-08-18 04:31:32.456136,2020-08-18 05:35:10.456136,MNO-000001,7,1.018408736349454,0
4,R,2020-08-18 05:35:10.456136,2020-08-18 05:35:10.456136,2020-08-18 05:41:16.456136,DEF-000001,7,1.311804472178887,0
2,Q,2020-08-18 05:22:16.456136,2020-08-18 05:22:16.456136,2020-08-18 05:46:03.456136,DEF-000002,7,1.0520020800832033,0
4,S,2020-08-18 05:41:16.456136,2020-08-18 05:41:16.456136,2020-08-18 05:46:22.456136,DEF-000003,7,1.0640665626625065,0
4,T,2020-08-18 05:46:22.456136,2020-08-18 05:46:22.456136,2020-08-18 05:47:37.456136,DEF-000003,7,1.0728029121164846,0
2,R,2020-08-18 05:46:03.456136,2020-08-18 05:46:03.456136,2020-08-18 06:05:12.456136,DEF-000001,7,1.311804472178887,0
2,S,2020-08-18 06:05:12.456136,2020-08-18 06:05:12.456136,2020-08-18 06:15:03.456136,DEF-000001,6,1.0640665626625065,0
2,T,2020-08-18 06:15:03.456136,2020-08-18 06:15:03.456136,2020-08-18 06:18:27.456136,DEF-000001,6,1.0728029121164846,0
2,I,2020-08-18 06:18:27.456136,2020-08-18 06:18:27.456136,2020-08-18 06:20:44.456136,ABC-000001,6,1.0636505460218408,0
2,J,2020-08-18 06:20:44.456136,2020-08-18 06:20:44.456136,2020-08-18 06:20:50.456136,ABC-000001,6,1.3449817992719708,0
2,K,2020-08-18 06:20:50.456136,2020-08-18 06:20:50.456136,2020-08-18 06:25:34.456136,ABC-000001,6,1.0498179927197089,0
5,A,2020-08-18 06:21:16.080775,2020-08-18 06:25:34.456136,2020-08-18 06:31:15.456136,ABC-000001,7,1.0431617264690587,1
2,L,2020-08-18 06:25:34.456136,2020-08-18 06:31:15.456136,2020-08-18 06:41:31.456136,ABC-000001,7,1.0249609984399375,1
5,B,2020-08-18 06:31:15.456136,2020-08-18 06:41:31.456136,2020-08-18 06:45:52.456136,ABC-000001,7,1.0436817472698907,0
5,E,2020-08-18 06:45:52.456136,2020-08-18 06:45:52.456136,2020-08-18 06:49:36.456136,ABC-000001,6,1.0422256890275612,0
6,A,2020-08-18 06:48:31.409312,2020-08-18 06:49:36.456136,2020-08-18 06:55:17.456136,ABC-000001,7,1.0431617264690587,1
5,F,2020-08-18 06:49:36.456136,2020-08-18 06:55:17.456136,2020-08-18 06:59:28.456136,ABC-000001,7,1.03733749349974,2
6,B,2020-08-18 06:55:17.456136,2020-08-18 06:59:28.456136,2020-08-18 07:03:48.456136,ABC-000001,8,1.0436817472698907,2
7,A,2020-08-18 06:54:54.513572,2020-08-18 07:03:48.456136,2020-08-18 07:09:33.456136,ABC-000001,8,2.0431617264690587,2
6,E,2020-08-18 07:03:48.456136,2020-08-18 07:09:33.456136,2020-08-18 07:13:11.456136,ABC-000001,8,1.0422256890275612,2
7,B,2020-08-18 07:09:33.456136,2020-08-18 07:13:11.456136,2020-08-18 07:17:30.456136,ABC-000001,8,1.0436817472698907,2
