caseid,timestamp
Case1,2016-05-19 01:59:08
Case2,2016-05-19 03:46:05
Case3,2016-05-19 10:38:39
Case4,2016-05-19 12:31:40
Case5,2016-05-19 15:27:24
Case6,2016-05-19 15:59:38
Case7,2016-05-19 16:00:56
Case8,2016-05-19 18:17:48
Case9,2016-05-19 19:42:26
Case10,2016-05-19 19:56:59
Case11,2016-05-19 21:43:21
Case12,2016-05-19 22:43:49
Case13,2016-05-20 00:26:23
Case14,2016-05-20 01:04:40
Case15,2016-05-20 08:50:29
Case16,2016-05-20 09:47:26
Case17,2016-05-20 12:55:27
Case18,2016-05-20 15:37:12
Case19,2016-05-20 16:51:52
Case20,2016-05-20 17:45:36
Case21,2016-05-20 19:57:04
Case22,2016-05-20 21:05:31
Case23,2016-05-20 22:17:06
Case24,2016-05-21 01:43:54
Case25,2016-05-21 03:22:13
Case26,2016-05-21 11:57:11
Case27,2016-05-21 15:53:51
Case28,2016-05-21 20:53:01
Case29,2016-05-21 22:52:54
Case30,2016-05-21 23:51:45
Case31,2016-05-22 12:42:00
Case32,2016-05-22 13:16:02
Case33,2016-05-22 16:51:21
Case34,2016-05-22 17:04:24
Case35,2016-05-22 19:38:54
Case36,2016-05-22 23:04:30
Case37,2016-05-23 00:29:51
Case38,2016-05-23 01:42:17
Case39,2016-05-23 11:55:47
Case40,2016-05-23 12:19:44
Case41,2016-05-23 13:31:18
Case42,2016-05-23 14:55:18
Case43,2016-05-23 15:20:33
Case44,2016-05-23 17:30:40
Case45,2016-05-23 18:20:11
Case46,2016-05-23 21:45:28
Case47,2016-05-23 22:29:17
Case48,2016-05-23 23:32:55
Case49,2016-05-24 00:39:13
Case50,2016-05-24 01:00:42
Case51,2016-05-24 02:24:31
Case52,2016-05-24 04:49:19
Case53,2016-05-24 05:20:57
Case54,2016-05-24 06:55:53
Case55,2016-05-24 12:23:34
Case56,2016-05-24 14:50:25
Case57,2016-05-24 15:41:28
Case58,2016-05-24 16:49:29
Case59,2016-05-24 17:39:00
Case60,2016-05-24 18:25:19
Case61,2016-05-24 21:08:48
Case62,2016-05-24 23:25:15
Case63,2016-05-25 00:17:18
Case64,2016-05-25 02:55:08
Case65,2016-05-25 07:15:42
Case66,2016-05-25 12:42:09
Case67,2016-05-25 13:03:14
Case68,2016-05-25 14:52:42
Case69,2016-05-25 16:39:18
Case70,2016-05-25 17:09:42
Case71,2016-05-25 20:37:23
Case72,2016-05-25 21:13:12
Case73,2016-05-25 21:58:45
Case74,2016-05-25 23:00:46
Case75,2016-05-26 00:33:50
Case76,2016-05-26 01:03:10
Case77,2016-05-26 02:38:34
Case78,2016-05-26 03:22:52
Case79,2016-05-26 04:17:33
Case80,2016-05-26 05:00:24
Case81,2016-05-26 07:16:34
Case82,2016-05-26 09:21:13
Case83,2016-05-26 09:56:08
Case84,2016-05-26 11:34:11
Case85,2016-05-26 13:50:02
Case86,2016-05-26 15:53:28
Case87,2016-05-26 16:09:43
Case88,2016-05-26 17:40:16
Case89,2016-05-26 18:29:19
Case90,2016-05-26 19:39:47
Case91,2016-05-26 20:45:56
Case92,2016-05-26 22:52:05
Case93,2016-05-26 23:04:07
Case94,2016-05-27 00:55:23
Case95,2016-05-27 02:06:23
Case96,2016-05-27 03:32:53
Case97,2016-05-27 05:25:43
Case98,2016-05-27 06:06:06
Case99,2016-05-27 08:06:10
Case100,2016-05-27 10:34:57
Case101,2016-05-27 11:14:01
Case102,2016-05-27 13:44:59
Case103,2016-05-27 14:06:45
Case104,2016-05-27 15:15:52
Case105,2016-05-27 17:08:42
Case106,2016-05-27 18:32:31
Case107,2016-05-27 19:23:15
Case108,2016-05-27 20:06:34
Case109,2016-05-27 21:49:55
Case110,2016-05-27 22:25:42
Case111,2016-05-28 00:08:54
Case112,2016-05-28 01:47:25
Case113,2016-05-28 12:35:23
Case114,2016-05-28 14:51:32
Case115,2016-05-28 15:11:50
Case116,2016-05-28 18:13:15
Case117,2016-05-29 07:16:45
Case118,2016-05-29 14:11:23
Case119,2016-05-29 15:08:11
Case120,2016-05-29 19:37:57
Case121,2016-05-29 21:19:16
Case122,2016-05-29 23:25:21
Case123,2016-05-30 00:41:11
Case124,2016-05-30 01:54:16
Case125,2016-05-30 02:40:03
Case126,2016-05-30 09:10:07
Case127,2016-05-30 11:39:45
Case128,2016-05-30 12:02:21
Case129,2016-05-30 15:59:26
Case130,2016-05-30 17:20:17
Case131,2016-05-30 18:22:25
Case132,2016-05-30 19:01:23
Case133,2016-05-30 21:53:59
Case134,2016-05-30 22:05:29
Case135,2016-05-30 23:32:20
Case136,2016-05-31 02:17:12
Case137,2016-05-31 03:23:22
Case138,2016-05-31 04:47:17
Case139,2016-05-31 06:53:04
Case140,2016-05-31 08:20:05
Case141,2016-05-31 13:25:27
Case142,2016-05-31 14:38:30
Case143,2016-05-31 15:01:50
Case144,2016-05-31 17:39:49
Case145,2016-05-31 19:35:28
Case146,2016-05-31 20:33:15
Case147,2016-05-31 21:07:00
Case148,2016-05-31 21:59:02
Case149,2016-05-31 23:21:31
Case150,2016-06-01 02:50:26
Case151,2016-06-01 03:48:34
Case152,2016-06-01 09:25:54
Case153,2016-06-01 10:07:28
Case154,2016-06-01 11:06:33
Case155,2016-06-01 12:29:42
Case156,2016-06-01 13:23:20
Case157,2016-06-01 13:58:12
Case158,2016-06-01 15:17:56
Case159,2016-06-01 16:02:58
Case160,2016-06-01 18:25:05
Case161,2016-06-01 19:54:12
Case162,2016-06-01 21:02:08
Case163,2016-06-01 22:07:51
Case164,2016-06-01 23:25:49
Case165,2016-06-02 00:49:20
Case166,2016-06-02 01:04:14
Case167,2016-06-02 02:54:46
Case168,2016-06-02 04:51:23
Case169,2016-06-02 06:48:31
Case170,2016-06-02 13:47:59
Case171,2016-06-02 15:09:06
Case172,2016-06-02 16:19:56
Case173,2016-06-02 19:03:21
Case174,2016-06-02 19:36:20
Case175,2016-06-02 20:51:11
Case176,2016-06-02 22:31:14
Case177,2016-06-02 23:23:01
Case178,2016-06-03 00:36:38
Case179,2016-06-03 01:42:24
Case180,2016-06-03 02:55:00
Case181,2016-06-03 06:16:09
