caseid,timestamp
Case1,2020-08-17 15:10:28
Case2,2020-08-17 16:36:59
Case3,2020-08-17 17:02:53
Case4,2020-08-17 18:01:39
Case5,2020-08-17 19:14:05
Case6,2020-08-17 20:06:30
Case7,2020-08-18 00:15:26
Case8,2020-08-18 01:06:17
Case9,2020-08-18 05:03:13
Case10,2020-08-18 06:28:55
Case11,2020-08-18 08:16:54
Case12,2020-08-18 09:27:23
Case13,2020-08-18 10:43:37
Case14,2020-08-18 11:51:02
Case15,2020-08-18 12:16:18
Case16,2020-08-18 13:40:00
Case17,2020-08-18 14:31:54
Case18,2020-08-18 15:02:49
Case19,2020-08-18 16:13:00
Case20,2020-08-18 17:10:21
Case21,2020-08-18 18:18:19
Case22,2020-08-18 19:48:45
Case23,2020-08-18 21:07:42
Case24,2020-08-19 03:42:58
Case25,2020-08-19 08:27:27
Case26,2020-08-19 11:53:47
Case27,2020-08-19 12:43:29
Case28,2020-08-19 14:04:53
Case29,2020-08-19 15:11:35
Case30,2020-08-19 16:31:29
Case31,2020-08-19 17:46:22
Case32,2020-08-19 18:18:37
Case33,2020-08-19 19:33:12
Case34,2020-08-19 20:43:00
Case35,2020-08-19 21:49:22
Case36,2020-08-19 22:02:09
Case37,2020-08-20 00:57:09
Case38,2020-08-20 03:44:36
Case39,2020-08-20 06:26:39
Case40,2020-08-20 09:42:34
Case41,2020-08-20 10:45:58
Case42,2020-08-20 11:12:57
Case43,2020-08-20 12:58:16
Case44,2020-08-20 13:31:25
Case45,2020-08-20 14:10:55
Case46,2020-08-20 15:20:12
Case47,2020-08-20 16:27:12
Case48,2020-08-20 17:11:45
Case49,2020-08-20 18:50:30
Case50,2020-08-20 19:43:07
Case51,2020-08-20 20:17:15
Case52,2020-08-20 21:34:45
Case53,2020-08-20 23:53:51
Case54,2020-08-21 00:35:16
Case55,2020-08-21 06:39:06
Case56,2020-08-21 07:38:15
Case57,2020-08-21 10:01:17
Case58,2020-08-21 11:53:15
Case59,2020-08-21 12:39:59
Case60,2020-08-21 13:44:15
Case61,2020-08-21 14:40:58
Case62,2020-08-21 16:35:07
Case63,2020-08-21 18:54:20
Case64,2020-08-21 19:21:51
Case65,2020-08-21 23:40:12
Case66,2020-08-22 01:01:03
Case67,2020-08-22 02:28:35
Case68,2020-08-22 03:41:25
Case69,2020-08-22 12:52:21
Case70,2020-08-22 13:08:35
Case71,2020-08-22 14:17:26
Case72,2020-08-23 12:52:20
Case73,2020-08-23 14:52:54
Case74,2020-08-23 16:59:58
Case75,2020-08-23 17:54:56
Case76,2020-08-24 00:02:57
Case77,2020-08-24 10:19:12
Case78,2020-08-24 11:25:57
Case79,2020-08-24 13:09:33
Case80,2020-08-24 14:08:45
Case81,2020-08-24 15:02:14
Case82,2020-08-24 16:55:49
Case83,2020-08-24 17:07:20
Case84,2020-08-24 18:42:11
Case85,2020-08-24 20:56:38
Case86,2020-08-24 21:54:47
Case87,2020-08-25 00:44:57
Case88,2020-08-25 02:36:48
Case89,2020-08-25 04:46:27
Case90,2020-08-25 06:59:17
Case91,2020-08-25 09:42:12
Case92,2020-08-25 10:49:02
Case93,2020-08-25 11:25:49
Case94,2020-08-25 12:50:34
Case95,2020-08-25 13:30:19
Case96,2020-08-25 14:19:27
Case97,2020-08-25 15:54:25
Case98,2020-08-25 16:39:18
Case99,2020-08-25 17:12:40
Case100,2020-08-25 18:18:37
Case101,2020-08-25 19:46:00
Case102,2020-08-25 20:07:13
Case103,2020-08-25 23:03:43
Case104,2020-08-26 02:15:32
Case105,2020-08-26 06:35:26
Case106,2020-08-26 10:56:26
Case107,2020-08-26 12:42:42
Case108,2020-08-26 14:07:35
Case109,2020-08-26 15:28:42
Case110,2020-08-26 16:50:23
Case111,2020-08-26 17:34:17
Case112,2020-08-26 18:46:53
Case113,2020-08-26 19:29:49
Case114,2020-08-26 20:26:32
Case115,2020-08-26 23:02:18
Case116,2020-08-27 07:57:54
Case117,2020-08-27 12:45:37
Case118,2020-08-27 13:36:25
Case119,2020-08-27 14:20:09
Case120,2020-08-27 15:32:15
Case121,2020-08-27 16:31:25
Case122,2020-08-27 17:07:33
Case123,2020-08-27 18:16:33
Case124,2020-08-27 19:04:04
Case125,2020-08-27 20:01:34
Case126,2020-08-27 22:38:24
Case127,2020-08-27 23:35:29
Case128,2020-08-28 00:54:57
Case129,2020-08-28 02:44:52
Case130,2020-08-28 03:59:58
Case131,2020-08-28 05:00:14
Case132,2020-08-28 06:47:05
Case133,2020-08-28 09:23:42
Case134,2020-08-28 11:53:44
Case135,2020-08-28 12:40:08
Case136,2020-08-28 13:11:15
Case137,2020-08-28 14:52:25
Case138,2020-08-28 17:03:23
Case139,2020-08-28 18:27:37
Case140,2020-08-28 19:41:06
Case141,2020-08-28 20:58:51
Case142,2020-08-28 21:33:00
Case143,2020-08-29 11:05:28
Case144,2020-08-29 12:57:21
Case145,2020-08-29 15:26:45
Case146,2020-08-29 17:20:11
Case147,2020-08-29 18:59:42
Case148,2020-08-29 19:18:22
Case149,2020-08-30 15:17:38
Case150,2020-08-30 16:58:06
Case151,2020-08-30 17:39:53
Case152,2020-08-30 18:05:50
Case153,2020-08-30 19:08:20
Case154,2020-08-30 20:46:42
Case155,2020-08-31 09:43:25
Case156,2020-08-31 11:31:34
Case157,2020-08-31 12:06:57
Case158,2020-08-31 13:18:43
Case159,2020-08-31 14:07:07
