id_case,activity,enabled_time,start_time,end_time,role,resource,wip_wait,wip_start,wip_end,wip_activity,ro_total,ro_single,queue,prefix,attribute_case,attribute_event
0,W_Beoordelen fraude,2012-02-13 20:42:08,2012-02-13 20:42:08,2012-02-13 20:44:59,11304.0,11304.0,1,1,1,1,[0.03],1.0,171,['W_Beoordelen fraude'],{},{}
0,W_Afhandelen leads,2012-02-13 20:44:59,2012-02-13 20:44:59,2012-02-13 20:47:30,10138.0,10138.0,1,1,1,1,[0.08],1.0,151,"['W_Beoordelen fraude', 'W_Afhandelen leads']",{},{}
0,W_Completeren aanvraag,2012-02-13 20:47:30,2012-02-13 20:47:30,2012-02-13 20:49:53,10863.0,10863.0,1,1,1,1,[0.03],1.0,143,"['W_Beoordelen fraude', 'W_Afhandelen leads', 'W_Completeren aanvraag']",{},{}
0,W_Completeren aanvraag,2012-02-13 20:49:53,2012-02-13 20:49:53,2012-02-13 20:52:08,11002.0,11002.0,1,1,1,1,[0.03],1.0,135,"['W_Beoordelen fraude', 'W_Afhandelen leads', 'W_Completeren aanvraag', 'W_Completeren aanvraag']",{},{}
0,W_Nabellen offertes,2012-02-13 20:52:08,2012-02-13 20:52:08,2012-02-13 20:54:08,10914.0,10914.0,1,1,1,1,[0.03],1.0,120,"['W_Beoordelen fraude', 'W_Afhandelen leads', 'W_Completeren aanvraag', 'W_Completeren aanvraag', 'W_Nabellen offertes']",{},{}
0,W_Valideren aanvraag,2012-02-13 20:54:08,2012-02-13 20:54:08,2012-02-13 20:56:36,NOT_SET,NOT_SET,1,1,1,1,[0.03],1.0,148,"['W_Beoordelen fraude', 'W_Afhandelen leads', 'W_Completeren aanvraag', 'W_Completeren aanvraag', 'W_Nabellen offertes', 'W_Valideren aanvraag']",{},{}
1,W_Afhandelen leads,2012-02-13 21:41:51,2012-02-13 21:41:51,2012-02-13 21:44:41,10931.0,10931.0,1,1,1,1,[0.03],1.0,170,['W_Afhandelen leads'],{},{}
1,W_Completeren aanvraag,2012-02-13 21:44:41,2012-02-13 21:44:41,2012-02-13 21:47:14,10939.0,10939.0,1,1,1,1,[0.03],1.0,153,"['W_Afhandelen leads', 'W_Completeren aanvraag']",{},{}
1,W_Nabellen offertes,2012-02-13 21:47:14,2012-02-13 21:47:14,2012-02-13 21:49:27,10889.0,10889.0,1,1,1,1,[0.03],1.0,133,"['W_Afhandelen leads', 'W_Completeren aanvraag', 'W_Nabellen offertes']",{},{}
1,W_Valideren aanvraag,2012-02-13 21:49:27,2012-02-13 21:49:27,2012-02-13 21:51:30,11079.0,11079.0,1,1,1,1,[0.08],1.0,123,"['W_Afhandelen leads', 'W_Completeren aanvraag', 'W_Nabellen offertes', 'W_Valideren aanvraag']",{},{}
