id_case,activity,enabled_time,start_time,end_time,role,resource,wip_wait,wip_start,wip_end,wip_activity,ro_total,ro_single,queue,prefix,attribute_case,attribute_event
0,Activity E,2023-11-28 09:00:00,2023-11-28 09:00:00,2023-11-28 09:00:05.994849,R6,R6,1,2,2,2,[],1.0,5.994848589218677,['Activity E'],{},{}
2,Activity E,2023-11-28 09:00:05.994849,2023-11-28 09:00:05.994849,2023-11-28 09:00:36.710755,R6,R6,3,3,3,2,[],1.0,30.715906864800615,['Activity E'],{},{}
3,Activity E,2023-11-28 09:00:36.710755,2023-11-28 09:00:36.710755,2023-11-28 09:02:52.358021,R6,R6,4,4,4,2,[],1.0,135.64726513953735,['Activity E'],{},{}
1,Activity E,2023-11-28 09:00:00,2023-11-28 09:00:00,2023-11-28 09:03:03.322740,R5,R5,2,2,4,2,[],1.0,183.32273951045,['Activity E'],{},{}
3,Activity F,2023-11-28 09:02:52.358021,2023-11-28 09:02:52.358021,2023-11-28 09:03:30.270289,R6,R6,4,4,5,1,[],1.0,37.912268850635385,"['Activity E', 'Activity F']",{},{}
1,Activity F,2023-11-28 09:03:30.270289,2023-11-28 09:03:30.270289,2023-11-28 09:05:53.335733,R6,R6,4,4,4,1,[],1.0,143.06544390508094,"['Activity E', 'Activity F']",{},{}
5,Activity E,2023-11-28 09:05:53.335733,2023-11-28 09:05:53.335733,2023-11-28 09:06:12.678106,R6,R6,4,4,4,2,[],1.0,19.3423729896029,['Activity E'],{},{}
4,Activity E,2023-11-28 09:03:03.322740,2023-11-28 09:03:03.322740,2023-11-28 09:07:05.336625,R5,R5,5,5,4,1,[],1.0,242.01388562110898,['Activity E'],{},{}
4,Activity F,2023-11-28 09:07:05.336625,2023-11-28 09:07:05.336625,2023-11-28 09:07:28.493911,R5,R5,4,4,4,2,[],1.0,23.157285979564538,"['Activity E', 'Activity F']",{},{}
2,Activity F,2023-11-28 09:07:28.493911,2023-11-28 09:07:28.493911,2023-11-28 09:10:33.633904,R5,R5,3,3,3,2,[],1.0,185.13999291565506,"['Activity E', 'Activity F']",{},{}
0,Activity F,2023-11-28 09:10:33.633904,2023-11-28 09:10:33.633904,2023-11-28 09:11:12.609007,R5,R5,2,2,2,2,[],1.0,38.97510270942469,"['Activity E', 'Activity F']",{},{}
6,Activity E,2023-11-28 09:11:12.609007,2023-11-28 09:11:12.609007,2023-11-28 09:11:18.271301,R5,R5,2,2,2,1,[],1.0,5.662294588637121,['Activity E'],{},{}
5,Activity F,2023-11-28 09:06:12.678106,2023-11-28 09:06:12.678106,2023-11-28 09:11:32.243324,R6,R6,4,4,3,1,[],1.0,319.5652176123627,"['Activity E', 'Activity F']",{},{}
7,Activity E,2023-11-28 09:11:18.271301,2023-11-28 09:11:18.271301,2023-11-28 09:12:07.877454,R5,R5,3,3,2,1,[],1.0,49.606153029377886,['Activity E'],{},{}
8,Activity E,2023-11-28 09:12:07.877454,2023-11-28 09:12:07.877454,2023-11-28 09:13:18.260499,R5,R5,3,3,3,1,[],1.0,70.38304495477664,['Activity E'],{},{}
8,Activity F,2023-11-28 09:13:18.260499,2023-11-28 09:13:18.260499,2023-11-28 09:13:41.336306,R5,R5,3,3,3,2,[],1.0,23.07580697073393,"['Activity E', 'Activity F']",{},{}
6,Activity F,2023-11-28 09:11:32.243324,2023-11-28 09:11:32.243324,2023-11-28 09:14:13.222245,R6,R6,2,2,2,1,[],1.0,160.97892150679138,"['Activity E', 'Activity F']",{},{}
9,Activity E,2023-11-28 09:14:13.222245,2023-11-28 09:14:13.222245,2023-11-28 09:15:09.214287,R6,R6,2,2,2,1,[],1.0,55.99204182912006,['Activity E'],{},{}
7,Activity F,2023-11-28 09:13:41.336306,2023-11-28 09:13:41.336306,2023-11-28 09:15:47.101121,R5,R5,2,2,3,2,[],1.0,125.76481434640719,"['Activity E', 'Activity F']",{},{}
