id_case,activity,enabled_time,start_time,end_time,role,resource,wip_wait,wip_start,wip_end,wip_activity,ro_total,ro_single,queue,prefix,attribute_case,attribute_event
1,Activity E,2023-11-28 09:00:00,2023-11-28 09:00:00,2023-11-28 09:00:26.270915,R6,R6,2,2,2,2,[],1.0,26.27091481999046,['Activity E'],{},{}
0,Activity E,2023-11-28 09:00:00,2023-11-28 09:00:00,2023-11-28 09:00:44.144875,R5,R5,1,2,2,2,[],1.0,44.1448746646908,['Activity E'],{},{}
0,Activity F,2023-11-28 09:00:44.144875,2023-11-28 09:00:44.144875,2023-11-28 09:02:03.471060,R5,R5,2,2,2,2,[],1.0,79.32618514053912,"['Activity E', 'Activity F']",{},{}
2,Activity E,2023-11-28 09:02:03.471060,2023-11-28 09:02:03.471060,2023-11-28 09:03:23.808702,R5,R5,2,2,2,1,[],1.0,80.33764213615407,['Activity E'],{},{}
2,Activity F,2023-11-28 09:03:23.808702,2023-11-28 09:03:23.808702,2023-11-28 09:03:44.582607,R5,R5,2,2,2,2,[],1.0,20.773904754086917,"['Activity E', 'Activity F']",{},{}
1,Activity F,2023-11-28 09:00:26.270915,2023-11-28 09:00:26.270915,2023-11-28 09:05:08.725481,R6,R6,2,2,2,1,[],1.0,282.4545660953973,"['Activity E', 'Activity F']",{},{}
3,Activity E,2023-11-28 09:03:44.582607,2023-11-28 09:03:44.582607,2023-11-28 09:05:39.198328,R5,R5,2,2,2,1,[],1.0,114.6157209495855,['Activity E'],{},{}
3,Activity F,2023-11-28 09:05:39.198328,2023-11-28 09:05:39.198328,2023-11-28 09:11:39.922985,R5,R5,2,2,2,1,[],1.0,360.7246575415183,"['Activity E', 'Activity F']",{},{}
4,Activity E,2023-11-28 09:05:08.725481,2023-11-28 09:05:08.725481,2023-11-28 09:12:30.135033,R6,R6,2,2,2,2,[],1.0,441.4095520765776,['Activity E'],{},{}
5,Activity E,2023-11-28 09:11:39.922985,2023-11-28 09:11:39.922985,2023-11-28 09:14:51.293684,R5,R5,2,2,2,2,[],1.0,191.3706984035176,['Activity E'],{},{}
4,Activity F,2023-11-28 09:12:30.135033,2023-11-28 09:12:30.135033,2023-11-28 09:15:56.914795,R6,R6,2,2,2,1,[],1.0,206.77976205303037,"['Activity E', 'Activity F']",{},{}
6,Activity E,2023-11-28 09:15:56.914795,2023-11-28 09:15:56.914795,2023-11-28 09:17:44.457939,R6,R6,2,2,2,1,[],1.0,107.54314370708256,['Activity E'],{},{}
5,Activity F,2023-11-28 09:14:51.293684,2023-11-28 09:14:51.293684,2023-11-28 09:17:51.966137,R5,R5,2,2,2,2,[],1.0,180.67245318970117,"['Activity E', 'Activity F']",{},{}
