id_case,activity,enabled_time,start_time,end_time,role,resource,wip_wait,wip_start,wip_end,wip_activity,ro_total,ro_single,queue,prefix,attribute_case,attribute_event
0,Activity E,2023-11-28 09:00:00,2023-11-28 09:00:00,2023-11-28 09:00:58.066702,R5,R5,1,2,2,2,[],1.0,58.06670150849535,['Activity E'],{},{}
1,Activity E,2023-11-28 09:00:00,2023-11-28 09:00:00,2023-11-28 09:02:56.153737,R6,R6,2,2,3,2,[],1.0,176.15373739792022,['Activity E'],{},{}
3,Activity E,2023-11-28 09:02:56.153737,2023-11-28 09:02:56.153737,2023-11-28 09:03:08.464395,R6,R6,4,4,4,2,[],1.0,12.310657609004606,['Activity E'],{},{}
4,Activity E,2023-11-28 09:03:08.464395,2023-11-28 09:03:08.464395,2023-11-28 09:04:44.917965,R6,R6,5,5,5,2,[],1.0,96.45356981780765,['Activity E'],{},{}
2,Activity E,2023-11-28 09:00:58.066702,2023-11-28 09:00:58.066702,2023-11-28 09:04:53.667216,R5,R5,3,3,6,2,[],1.0,235.6005148157493,['Activity E'],{},{}
6,Activity E,2023-11-28 09:04:53.667216,2023-11-28 09:04:53.667216,2023-11-28 09:07:36.680650,R5,R5,7,7,7,2,[],1.0,163.01343341888955,['Activity E'],{},{}
7,Activity E,2023-11-28 09:07:36.680650,2023-11-28 09:07:36.680650,2023-11-28 09:08:59.769102,R5,R5,8,8,8,2,[],1.0,83.08845216867468,['Activity E'],{},{}
8,Activity E,2023-11-28 09:08:59.769102,2023-11-28 09:08:59.769102,2023-11-28 09:10:35.765270,R5,R5,9,9,9,2,[],1.0,95.99616818502908,['Activity E'],{},{}
5,Activity E,2023-11-28 09:04:44.917965,2023-11-28 09:04:44.917965,2023-11-28 09:10:38.725994,R6,R6,6,6,10,2,[],1.0,353.80802868043855,['Activity E'],{},{}
10,Activity E,2023-11-28 09:10:38.725994,2023-11-28 09:10:38.725994,2023-11-28 09:11:10.970786,R6,R6,11,11,11,2,[],1.0,32.24479204132138,['Activity E'],{},{}
9,Activity E,2023-11-28 09:10:35.765270,2023-11-28 09:10:35.765270,2023-11-28 09:12:04.053247,R5,R5,10,10,12,2,[],1.0,88.28797731241204,['Activity E'],{},{}
12,Activity E,2023-11-28 09:12:04.053247,2023-11-28 09:12:04.053247,2023-11-28 09:14:57.014718,R5,R5,13,13,13,2,[],1.0,172.96147047957558,['Activity E'],{},{}
13,Activity E,2023-11-28 09:14:57.014718,2023-11-28 09:14:57.014718,2023-11-28 09:15:46.855312,R5,R5,14,14,14,2,[],1.0,49.84059442675765,['Activity E'],{},{}
14,Activity E,2023-11-28 09:15:46.855312,2023-11-28 09:15:46.855312,2023-11-28 09:19:07.152272,R5,R5,15,15,15,2,[],1.0,200.29695958850604,['Activity E'],{},{}
15,Activity E,2023-11-28 09:19:07.152272,2023-11-28 09:19:07.152272,2023-11-28 09:19:19.223833,R5,R5,16,16,16,2,[],1.0,12.071560898785501,['Activity E'],{},{}
